name,ko,en,ja,ru,zhcht
Ability.Stat.DamageRate,추가 데미지 +{0}%,Additional Damage +{0}%,追加のダメージ +{0}％,Дополнительный Урон +{0}%,額外傷害 +{0}％
Ability.Stat.CriticalDamageRate,추가 크리티컬 데미지 +{0}%,Additional Critical Damage +{0}%,追加の重大なダメージ +{0}％,Дополнительный Критический Урон +{0}%,其他關鍵傷害 +{0}％
Ability.Stat.HealthRate,추가 체력 +{0}%,Additional Health +{0}%,追加の健康 +{0}％,Дополнительное Здоровье +{0}%,其他健康 +{0}％
Ability.Stat.HealthRecoveryRate,추가 체력 회복 +{0}%,Additional Fitness Recovery +{0}%,追加のフィットネスリカバリ +{0}％,Дополнительное Восстановление Фитнеса +{0}%,額外的健身恢復 +{0}％
Ability.Stat.AllGoldBonusRate,추가 골드 획득량 +{0}%,Additional Gold Acquisition +{0}%,追加の金の獲得 +{0}％,Дополнительное Приобретение Золота +{0}%,額外的黃金獲取 +{0}％
Ability.Stat.AllExpBonusRate,추가 경험치 획득량 +{0}%,Additional Experience Acquisition +{0}%%,追加のエクスペリエンス取得 +{0} %%,Дополнительное Приобретение Опыта +{0} %%,額外的經驗獲取 +{0} %%
Ability.Stat.AllJellyBonusRate,추가 젤리 획득량 +{0}%,Additional Jelly Acquisition +{0}%,追加のゼリー取得 +{0}％,Дополнительное Приобретение Желе +{0}%,其他果凍獲取 +{0}％
Ability.Stat.Acc,추가 명중률 +{0},Additional Accuracy +{0},追加の精度 +{0},Дополнительная Точность +{0},附加精度 +{0}
Ability.Stat.DoubleAttackChance,추가 더블 어택 확률 +{0}%,Additional Double Attack Probability +{0}%,追加の二重攻撃確率 +{0}％,Дополнительная Вероятность Двойной Атаки +{0}%,附加的雙重攻擊概率 +{0}％
Artifact.Name.00,돼지를 부르는 호각,A Whistle Calling A Pig,豚を呼ぶwhi,"Свисток, Зовущий Свинью",一個叫豬的哨子
Artifact.Name.01,거울아 누가 제일 이쁘니,"Mirror, Who Is The Prettiest",ミラー、最も美しい人,"Зеркало, Самое Красивое",鏡子，最漂亮的
Artifact.Name.02,모래 더하기 시계,Sand Plus Clock,砂と時計,Песок Плюс Часы,沙子鐘
Artifact.Name.03,만들다 만 세계지도,Make A World Map,世界地図を作成します,Сделать Карту Мира,製作世界地圖
Artifact.Name.04,심장을 쥐었다.,I Grabbed My Heart.,私は心をつかみました。,Я Схватил Свое Сердце.,我抓住了我的心。
Artifact.Name.05,번쩍 번쩍한 휘장,Sparkling Insignia,きらめく記章,Сверкающая Знака,閃閃發光的徽章
Artifact.Name.06,사자 얼굴 방패,Lion Shield,ライオンシールド,Львиный Щит,獅子盾
Artifact.Name.07,따노스 장갑,Thanos Gloves,サノスグローブ,Танос Перчатки,Thanos手套
Artifact.Name.08,X칼리버를 뽑아라,Pull The X Caliber,Xキャリバーを引っ張ります,Потянуть X -Калибр,拉x口徑
Artifact.Name.09,호랑이 기운,Tiger Energy,タイガーエネルギー,Tiger Energy,老虎能
Artifact.Name.10,황금 곡괭이,Golden Pickaxe,ゴールデンピカックス,Золотая Пик,金鎬
Artifact.Name.11,돼지 사용 설명서,Pig Usage Manual,豚の使用マニュアル,Руководство По Использованию Свиньи,豬使用手冊
Artifact.Name.12,이상하게 좋은 왕관,Strangely Good Crown,奇妙に良い王冠,Странно Хорошая Корона,奇怪的好冠
Artifact.Name.13,파라오의 마술잔,Pharaoh,ファラオ,Фараон,法老
Artifact.Name.14,복!주!Money,Bok! Lord! Money,ボク！主！お金,Бок! Господин! Деньги,吧！主！錢
Artifact.StatDecription.00,돼지 광부 채굴 속도 +{0}%,Pig Mining Speed +{0}%%,豚の採掘速度 +{0} %%,Скорость Добычи Свиней +{0} %%,豬開採速度 +{0} %%
Artifact.StatDecription.01,더블 어택 추가 데미지 +{0}%,Double Attack Additional Damage +{0}%%,ダブル攻撃追加ダメージ +{0} %%,Двойная Атака Дополнительный Урон +{0} %%,雙重攻擊額外傷害 +{0} %%
Artifact.StatDecription.02,던전 오버 타임 +{0}%,Dungeon Over Time +{0}%,時間の経過とともにダンジョン +{0}％,Подземелье С Течением Времени +{0}%,隨著時間的推移，地牢 +{0}％
Artifact.StatDecription.03,스테이지 보스 오버 타임 +{0}%,Stage Boss Over Time +{0}%,時間の経過とともにステージボス +{0}％,Сценический Босс С Течением Времени +{0}%,階段老闆隨著時間 +{0}％
Artifact.StatDecription.04,보스 몬스터 체력 -{0}%,Boss Monster Health- {0}%,ボスモンスターヘルス -  {0}％,Boss Monster Health- {0}%,Boss Monster Health- {0}％
Artifact.StatDecription.05,보스 몬스터 데미지 -{0}%,Boss Monster Damage- {0}%,ボスモンスターダメージ -  {0}％,Урон Монстра Босса- {0}%,老闆怪物傷害 -  {0}％
Artifact.StatDecription.06,체력 +{0},Health +{0},健康 +{0},Health +{0},健康 +{0}
Artifact.StatDecription.07,데미지 +{0},Damage +{0},ダメージ +{0},Повреждение +{0},傷害 +{0}
Artifact.StatDecription.08,크리티컬 데미지 +{0}%,Critical Damage +{0}%,重大なダメージ +{0}％,Критический Урон +{0}%,關鍵傷害 +{0}％
Artifact.StatDecription.09,보스 몬스터 추가 데미지 +{0}%,Boss Monster Additional Damage +{0}%,ボスモンスター追加ダメージ +{0}％,Босс Монстр Дополнительный Урон +{0}%,老闆怪物額外傷害 +{0}％
Artifact.StatDecription.10,돼지 광부 채굴 골드 +{0}%,Pork Mining Mining Gold +{0}%,ポークマイニングマイニングゴールド +{0}％,Горнодобывающая Добыча Свинина Золото +{0}%,豬肉採礦採礦黃金 +{0}％
Artifact.StatDecription.11,돼지 광부 채굴 젤리 +{0}%,Pig Mining Jelly +{0}%,豚採掘ゼリー +{0}％,Желея Для Свиньи +{0}%,豬開採果凍 +{0}％
Artifact.StatDecription.12,돼지 광부 채굴 경험치 +{0}%,Pig Mining Experience +{0}%%,豚の採掘体験 +{0} %%,Опыт Добычи Свиней +{0} %%,豬開採經驗 +{0} %%
Artifact.StatDecription.13,스킬 쿨타임 -{0}%,Skill Cold Time- {0}%,スキルコールドタイム -  {0}％,Навык Холодное Время- {0}%,技能冷時間 -  {0}％
Artifact.StatDecription.14,럭키 피그 보너스 +{0}%,Lucky Pig Bonus +{0}%,ラッキーピッグボーナス +{0}％,Бонус Lucky Pig +{0}%,幸運的豬獎金 +{0}％
Bless.Name.00,공격의 가호,Attack,攻撃,Атака,攻擊
Bless.Name.01,생명의 가호,Life,人生,Жизнь,生活
Bless.Name.02,탐욕의 가호,Greed,貪欲,Жадность,貪婪
Bless.Name.03,경험의 가호,Praise,賞賛,Хвалить,稱讚
Bless.Name.04,채굴의 가호,Mining,マイニング,Добыча,礦業
Bless.Description.00,공격력 +{0}%,Attack +{0}%,攻撃 +{0}％,Атака +{0}%,攻擊 +{0}％
Bless.Description.01,체력 +{0}%,Health +{0}%,健康 +{0}％,Health +{0}%,健康 +{0}％
Bless.Description.02,골드 획득 +{0}%,Gold Acquisition +{0}%,金の獲得 +{0}％,Приобретение Золота +{0}%,獲得黃金 +{0}％
Bless.Description.03,경험치 획득 +{0}%,Experience Acquisition +{0}%,取得の経験 +{0}％,Приобретение Опыта +{0}%,經驗獲取 +{0}％
Bless.Description.04,채굴량 +{0}%,Mining Amount +{0}%,マイニング量 +{0}％,Сумма Добычи +{0}%,採礦量 +{0}％
Equipment.Bonus.Weapon,무기 보너스,Weapon Bonus,武器ボーナス,Бонус Оружия,武器獎金
Equipment.Bonus.Shield,방패 보너스,Shield Bonus,シールドボーナス,Бонус Щита,盾牌獎金
Equipment.Bonus.Acc,악세사리 보너스,Accessories,アクセサリー,Аксессуары,配件
Equipment.Weapon.Name.00,오래된 검,Old sword,古い剣,Старый меч,舊劍
Equipment.Weapon.Name.01,초심자의 검,Novice,初心者,Новичок,新手
Equipment.Weapon.Name.02,흔한 검,Common sword,一般的な剣,Общий меч,普通劍
Equipment.Weapon.Name.03,듀란달,Durandal,デュランダル,Дюрандал,杜蘭達
Equipment.Weapon.Name.04,모글레이,Moglay,モグレイ,Моглай,Moglay
Equipment.Weapon.Name.05,레바테인,Lebataine,レバタイン,Lebataine,Lebataine
Equipment.Weapon.Name.06,아스칼론,Ascalon,アスカロン,Аскалон,阿斯卡隆
Equipment.Weapon.Name.07,아조트,Azot,azot,Азот,Azot
Equipment.Weapon.Name.08,알마스,Almas,アルマス,Алмас,阿爾馬斯
Equipment.Weapon.Name.09,카타나,Katana,カタナ,Катана,卡塔納
Equipment.Weapon.Name.10,용연,Yongyeon,ヨンヨン,Йонгион,Yongyeon
Equipment.Weapon.Name.11,칼라드볼그,Callard Volg,Callard Volg,Каллард Волг,卡拉德·沃爾格（Callard Volg）
Equipment.Weapon.Name.12,크로케아 모르스,Croqueers,クローク,Кровейеры,Croqueers
Equipment.Weapon.Name.13,크루아딘 카다켄,Cruidine Kada Ken,クルイディンカダケン,Круидийн Када Кен,Cruidine Kada Ken
Equipment.Weapon.Name.14,바리사다,Barissa,バリッサ,Барисса,巴麗莎
Equipment.Weapon.Name.15,모랄타,Moralta,モラルタ,Моральта,莫拉爾塔
Equipment.Weapon.Name.16,다인슬라이프,Dine Slave,食事奴隷,Поужинать раб,用餐奴隸
Equipment.Weapon.Name.17,리딜,Redyl,レディール,Редил,氧化基
Equipment.Weapon.Name.18,솔라스,Solas,ソラ,Солас,Solas
Equipment.Weapon.Name.19,호푸드,Ho food,HO FOOD,Ho Food,Ho食物
Equipment.Weapon.Name.20,발뭉,Feet,フィート,Ноги,腳
Equipment.Weapon.Name.21,나겔링,Nagelling,nagelling,Нагеллинг,納格林
Equipment.Weapon.Name.22,베갈타,Vegala,ベガラ,Овоя,維加拉
Equipment.Weapon.Name.23,부르트강,Bourd,バード,Бурд,布爾德
Equipment.Weapon.Name.24,앵거바딜,Anger Badill,怒りバディル,Гнев Бадлл,憤怒
Equipment.Weapon.Name.25,아론다이트,Aondite,aondite,Аондайт,阿登
Equipment.Weapon.Name.26,에케작스,Ecjaks,ecjaks,Экьякс,束縛
Equipment.Weapon.Name.27,칼리번,Caliburn,キャリバーン,Калиберн,卡利本
Equipment.Shield.Name.00,오래된 방패,Old Shield,古いシールド,Старый Щит,舊盾牌
Equipment.Shield.Name.01,초심자의 방패,Beginner,初心者,Новичок,初學者
Equipment.Shield.Name.02,흔한 방패,Common Shield,共通シールド,Общий Щит,普通盾牌
Equipment.Shield.Name.03,듀란달의 방패,Duran Moon'S Shield,デュランムーンズシールド,Щит Duran Moon'S Щит,杜蘭·穆恩的盾牌
Equipment.Shield.Name.04,모글레이의 방패,Mogley'S Shield,モグリーの盾,Щит Могли,莫格利的盾牌
Equipment.Shield.Name.05,레바테인의 방패,Lebatain'S Shield,Lebatain'S Shield,Щит Лебатаина,Lebatain的盾牌
Equipment.Shield.Name.06,아스칼론의 방패,Ascalon'S Shield,アスカロンの盾,Щит Аскалона,阿斯卡隆的盾牌
Equipment.Shield.Name.07,아조트의 방패,Azot'S Shield,Azot'S Shield,Щит Азота,Azot的盾牌
Equipment.Shield.Name.08,알마스의 방패,Almas Shield,アルマスシールド,Almas Щит,阿爾馬斯盾
Equipment.Shield.Name.09,커터나의 방패,Cutter,カッター,Резак,刀具
Equipment.Shield.Name.10,용연의 방패,Yongyeon'S Shield,ヨンヨンの盾,Щит Йонгиона,Yongyeon的盾牌
Equipment.Shield.Name.11,칼라드볼그의 방패,Callard Volg'S Shield,Callard Volg'S Shield,Щит Калларда Вольга,卡拉德·沃爾格的盾牌
Equipment.Shield.Name.12,크로케아 모르스의 방패,Croquarus Shield,Croquarus Shield,Croquarus Щит,克羅誇拉斯盾牌
Equipment.Shield.Name.13,크루아딘 카다켄의 방패,Crudine Kada Ken'S Shield,Crudine Kada Ken'S Shield,Щит Крудин Када Кен,Crudine Kada Ken'S Shield
Equipment.Shield.Name.14,바리사다의 방패,Barisada'S Shield,バリサダの盾,Щит Барисады,Barisada的盾牌
Equipment.Shield.Name.15,모랄타의 방패,Moralta'S Shield,モラルタの盾,Щит Моральты,Moralta的盾牌
Equipment.Shield.Name.16,다인슬라이프의 방패,Dine Slee Life'S Shield,スリーライフシールドを食いつけます,Поужинать,美食袖子的盾牌
Equipment.Shield.Name.17,리딜의 방패,Riddiel'S Shield,リディエルの盾,Щит Риддиэля,里迪爾的盾牌
Equipment.Shield.Name.18,솔라스의 방패,Solas Shield,ソラスシールド,Solas Щит,Solas Shield
Equipment.Shield.Name.19,호푸드의 방패,Ho Food'S Shield,Ho Food'S Shield,Ho Food Щит,Ho Food'S Shield
Equipment.Shield.Name.20,발뭉의 방패,Berth,バース,Причал,泊位
Equipment.Shield.Name.21,나겔링의 방패,Nageling'S Shield,ネーゲリングのシールド,Щит Нагелинга,納格林的盾牌
Equipment.Shield.Name.22,베갈타의 방패,Vegala'S Shield,ベガラの盾,Вегальский Щит,維加拉的盾牌
Equipment.Shield.Name.23,부르트강의 방패,Bourd,バード,Бурд,布爾德
Equipment.Shield.Name.24,앵거바딜의 방패,Anger Badill'S Shield,怒りバディルの盾,Гнев Щит Бадилла,憤怒的盾牌
Equipment.Shield.Name.25,아론다이트의 방패,Aondite'S Shield,Aonditeの盾,Щит Аондита,Aondite的盾牌
Equipment.Shield.Name.26,에케작스의 방패,Ecjazas' Shield,Ecjazasのシールド,Экджазас Щит,Ecjazas的盾牌
Equipment.Shield.Name.27,칼리번의 방패,Caliburn'S Shield,Caliburn'S Shield,Щит Калиберна,卡利本的盾牌
Equipment.Acc.Name.00,용기의 훈장,Courage,勇気,Храбрость,勇氣
Equipment.Acc.Name.01,별 귀고리,Starrge,Starrge,Старг,Starrge
Equipment.Acc.Name.02,포도 반지,Grape Ring,グレープリング,Виноградное Кольцо,葡萄環
Equipment.Acc.Name.03,체리 반지,Cherry Ring,チェリーリング,Вишневое Кольцо,櫻桃戒指
Equipment.Acc.Name.04,수정 펜던트,Crystal,結晶,Кристалл,水晶
Equipment.Acc.Name.05,러브 펜던트,Love Pendant,大好きなペンダント,Любовь Кулон,愛吊墜
Equipment.Acc.Name.06,달의 귀고리,Lunar,月,Лунный,月球
Equipment.Acc.Name.07,리본 머리끈,Ribbon,リボン,Лента,絲帶
Equipment.Acc.Name.08,옥 반지,Jade Ring,ジェイドリング,Нефритовое Кольцо,玉戒指
Equipment.Acc.Name.09,장미 반지,Rose Ring,ローズリング,Розовое Кольцо,玫瑰戒指
Equipment.Acc.Name.10,옥 목걸이,Jade Necklace,ジェイドのネックレス,Нефритовое Ожерелье,翡翠項鍊
Equipment.Acc.Name.11,루비 반지,Ruby Ring,ルビーリング,Рубиновое Кольцо,紅寶石環
Equipment.Acc.Name.12,목도리,Muffler,マフラー,Глушитель,圍巾
Equipment.Acc.Name.13,루비 귀고리,Ruby Earrings,ルビーイヤリング,Рубиновые Серьги,紅寶石耳環
Equipment.Acc.Name.14,블루 귀고리,Blue Earring,ブルーイヤリング,Синяя Серьга,藍色耳環
Equipment.Acc.Name.15,핑크 팔찌,Pink Bracelet,ピンクのブレスレット,Розовый Браслет,粉紅色手鐲
Equipment.Acc.Name.16,푸른 귀고리,Blue Earring,ブルーイヤリング,Синяя Серьга,藍色耳環
Equipment.Acc.Name.17,레드 반지,Red Ring,赤いリング,Красное Кольцо,紅環
Equipment.Acc.Name.18,보라 반지,Bora Ring,ボラリング,Бора Кольцо,波拉戒指
Equipment.Acc.Name.19,사랑 반지,Love Ring,愛のリング,Любовное Кольцо,愛戒指
Equipment.Acc.Name.20,왕의 무게,King'S Weight,王の体重,Вес Короля,國王的體重
Equipment.Acc.Name.21,븐홍 반지,Ben Hong Ring,ベンホンリング,Бен Хонг Кольцо,本洪戒指
Equipment.Acc.Name.22,보라 팔찌,Purple Bracelet,紫色のブレスレット,Фиолетовый Браслет,紫色手鐲
Event.Level.Name.00,레벨업 이벤트 I,Level Up Event I,レベルアップイベントi,Событие На Уровне I,升級事件我
Event.Level.Name.01,레벨업 이벤트 II,Level Up Event Ii,レベルアップイベントii,Событие Ii Уровня Ii,升級事件ii
Event.Level.Name.02,레벨업 이벤트 III,Level Up Event Iii,レベルアップイベントiii,Событие Iii Уровня Iii,升級事件iii
Event.Level.Name.03,레벨업 이벤트 IV,Level Up Event Iv,レベルアップイベントiv,Событие На Уровне Iv,升級事件iv
Event.Stage.Name.00,스테이지 클리어 이벤트 I,Stage Clear Event I,ステージクリアイベントi,Стадия Ясного События I,舞台清晰的事件我
Event.Stage.Name.01,스테이지 클리어 이벤트 II,Stage Clear Event Ii,ステージクリアイベントii,Стадия Ясного События Ii,階段清除事件ii
Event.Stage.Name.02,스테이지 클리어 이벤트 III,Stage Clear Event Iii,ステージクリアイベントiii,Стадия Ясного События Iii,舞台清晰的事件iii
GuideMission.Description.Attendance,출석 보상을 받으세요.,Get The Attendance Reward.,出席報酬を取得します。,Получите Награду За Посещение.,獲得出席獎勵。
GuideMission.Description.RoyalGrowthDamageLevel,왕가 ▶ 성장 [공격력] 레벨 {0}을 달성하세요.,Royal Family ▶ Growth [Attack] Level {0}.,王室の家族▶成長[攻撃]レベル{0}。,Королевская Семья ▶ Рост [Атака] Уровень {0}.,王室▶增長[攻擊]等級{0}。
GuideMission.Description.RoyalGrowthHealthLevel,왕가 ▶ 성장 [체력] 레벨 {0}을 달성하세요.,Royal Family ▶ Growth [Health] Level {0}.,王室家族▶成長[健康]レベル{0}。,Королевская Семья ▶ Рост [Здоровье] Уровень {0}.,王室▶增長[健康]水平{0}。
GuideMission.Description.RoyalForceAttackSpeedLevel,왕가 ▶ 강화 [공격 속도] 레벨 {0}을 달성하세요.,Royal Family ▶ Enhancement [Attack Speed] Achieve Level {0}.,王室の家族▶強化[攻撃速度]レベル{0}を達成します。,Королевская Семья ▶ Улучшение [Скорость Атаки] Достичь Уровня {0}.,王室▶增強[攻擊速度]達到水平{0}。
GuideMission.Description.RoyalForceMoveSpeedLevel,왕가 ▶ 강화 [이동 속도] 레벨 {0}을 달성하세요.,Royal Family ▶ Enhancement [Movement Speed] Achieve Level {0}.,王室の家族▶強化[移動速度]レベル{0}を達成します。,Королевская Семья ▶ Улучшение [Скорость Движения] Достичь Уровня {0}.,王室▶增強[運動速度]達到水平{0}。
GuideMission.Description.RoyalForceCriticalLevel,왕가 ▶ 강화 [치명타 공격력] 레벨 {0}을 달성하세요.,Royal Family ▶ Enhancement [Critical Strike] Achieve Level {0}.,王室の家族▶強化[クリティカルストライク]達成レベル{0}。,Королевская Семья ▶ Улучшение [Критический Удар] Достичь Уровня {0}.,王室▶增強[關鍵打擊]達到水平{0}。
GuideMission.Description.RoyalForceAccLevel,왕가 ▶ 강화 [명중률] 레벨 {0}을 달성하세요.,Royal Family ▶ Enhancement [Hits] Level {0}.,王室の家族▶強化[ヒット]レベル{0}。,Королевская Семья ▶ Улучшение [Хитов] Уровень {0}.,王室▶增強[命中]級{0}。
GuideMission.Description.Stage,스테이지 {0}을 클리어하세요.,Clear The Stage {0}.,ステージ{0}をクリアします。,Очистить Стадию {0}.,清除階段{0}。
GuideMission.Description.Level,레벨 {0}을 달성하세요.,Achieve Level {0}.,レベル{0}を達成します。,Достичь Уровня {0}.,達到級別{0}。
GuideMission.Description.MonsterKill,몬스터 {0}마리를 처치하세요.,Keep The Monster {0}.,モンスター{0}を保持します。,Держите Монстра {0}.,保持怪物{0}。
GuideMission.Description.BlessDamageCount,축복 ▶ [공격의 가호] 를 {0}회 사용하세요.,Blessing ▶ Use {0} Sashimi.,祝福▶{0} Sashimiを使用します。,Благословение ▶ Используйте {0} Сашими.,祝福▶使用{0}生魚片。
GuideMission.Description.BlessHealthCount,축복 ▶ [생명의 가호] 를 {0}회 사용하세요.,Blessing ▶ Use {0} Sashimi.,祝福▶{0} Sashimiを使用します。,Благословение ▶ Используйте {0} Сашими.,祝福▶使用{0}生魚片。
GuideMission.Description.BlessGoldCount,축복 ▶ [탐욕의 가호] 를 {0}회 사용하세요.,Blessing ▶ Use {0} Sashimi.,祝福▶{0} Sashimiを使用します。,Благословение ▶ Используйте {0} Сашими.,祝福▶使用{0}生魚片。
GuideMission.Description.BlessExpCount,축복 ▶ [경험의 가호] 를 {0}회 사용하세요.,Blessing ▶ Use {0} Sashimi.,祝福▶{0} Sashimiを使用します。,Благословение ▶ Используйте {0} Сашими.,祝福▶使用{0}生魚片。
GuideMission.Description.GachaWeaponCount,장비 ▶ [무기 소환] {0}회 누적 소환하세요.,Equipment ▶ [Summon Weapon] {0} Summon Cummon.,機器▶[召喚武器] {0}召喚cummon。,Оборудование ▶ [Призыв Оружие] {0} Призыв Каммона.,設備▶[召喚武器] {0}召喚康蒙。
GuideMission.Description.GachaShieldCount,장비 ▶ [방어구 소환] {0}회 누적 소환하세요.,Equipment ▶ [Summon Armor] {0} Summon Cummon.,機器▶[召喚装甲] {0}召喚カモン。,Оборудование ▶ [Summon Armor] {0} Summon Cummon.,設備▶[召喚裝甲] {0}召喚康蒙。
GuideMission.Description.GachaSkillCount,스킬 ▶ [스킬 소환] {0}회 누적 소환하세요.,Skill ▶ [Summon Skill] {0} Summon Cummon.,スキル▶[召喚スキル] {0}召喚cummon。,Навык ▶ [Summon Skill] {0} Summon Cummon.,技能▶[召喚技能] {0}召喚康蒙。
GuideMission.Description.DungeonFishFightClearCount,던전 ▶ [피쉬 파이트]를 {0}회 이상 클리어하세요.,Dungeon ▶ Clear More Than {0} Sashimi.,ダンジョン▶{0} Sashimi以上をクリアします。,"Dungeon ▶ Ясно, Чем {0} Сашими.",地牢▶清除超過{0}生魚片。
GuideMission.Description.DungeonPigCowClearCount,던전 ▶ [리본 돼지 토벌]을 {0}회 이상 클리어하세요.,Dungeon ▶ Clear More Than {0} Sashimi.,ダンジョン▶{0} Sashimi以上をクリアします。,"Dungeon ▶ Ясно, Чем {0} Сашими.",地牢▶清除超過{0}生魚片。
GuideMission.Description.DungeonInfiniteTowerClearCount,던전 ▶ [무한의 탑]을 {0}회 이상 클리어하세요.,Dungeon ▶ Clear More Than {0} Sashimi.,ダンジョン▶{0} Sashimi以上をクリアします。,"Dungeon ▶ Ясно, Чем {0} Сашими.",地牢▶清除超過{0}生魚片。
GuideMission.Description.RoyalGrowthCriticalChance1Level,왕가 ▶ 성장 [치명타률] 레벨 {0}을 달성하세요.,Royal Family ▶ Growth [Critical Burning] Level {0}.,王室の家族▶成長[クリティカルバーニング]レベル{0}。,Королевская Семья ▶ Рост [Критическое Сжигание] Уровень {0}.,王室▶增長[關鍵燃燒]級{0}。
GuideMission.Description.RoyalGrowthCriticalDamageRate1Level,왕가 ▶ 성장 [치명타 공격력] 레벨 {0}을 달성하세요.,Royal Family ▶ Growth [Critical Heat Attack] Achieve Level {0}.,王室の家族▶成長[クリティカルヒート攻撃]レベル{0}を達成します。,Королевская Семья ▶ Рост [Критическая Тепловая Атака] Достичь Уровня {0}.,王室▶增長[關鍵熱攻擊]達到水平{0}。
Hero.Name.00,왕,King,王,Король,國王
Hero.Name.01,왕비,Queen,女王,Королева,女王
Hero.Name.02,왕자,Prince,王子,Принц,王子
Hero.Name.03,공주,Princess,お姫様,Принцесса,公主
Hero.Name.04,돼지왕,Pork King,ポークキング,Свиная Король,豬王
