name,Level,StageType,NormalMonster,NormalValue,NormalHealth,BossMonster,BossValue,BossHealth,BossDamage,BossDodge,Exp,Gold,PigJelly,Ruby,Hero,ConditionType,ConditionValue
TBL_ADVENTURE0,0,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE1,1,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE2,2,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE3,3,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE4,4,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE5,5,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE6,6,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE7,7,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE8,8,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE9,9,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE10,0,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE11,1,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE12,2,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE13,3,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE14,4,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE15,5,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE16,6,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE17,7,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE18,8,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE19,9,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE20,0,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE21,1,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE22,2,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
TBL_ADVENTURE23,3,Castle,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Null,0
