name,RewardType,RewardCount
TBL_BINGO_REWARD_NORMAL0,Ruby,3000.0
TBL_BINGO_REWARD_NORMAL1,Ruby,3000.0
TBL_BINGO_REWARD_NORMAL2,Ruby,2000.0
TBL_BINGO_REWARD_NORMAL3,Ruby,2000.0
TBL_BINGO_REWARD_NORMAL4,Ruby,1000.0
TBL_BINGO_REWARD_NORMAL5,Ruby,1000.0
TBL_BINGO_REWARD_NORMAL6,Ruby,1000.0
TBL_BINGO_REWARD_NORMAL7,Ruby,1000.0
TBL_BINGO_REWARD_NORMAL8,Ruby,1000.0
TBL_BINGO_REWARD_NORMAL9,Ruby,1000.0
TBL_BINGO_REWARD_NORMAL10,Pork,50.0
TBL_BINGO_REWARD_NORMAL11,Pork,50.0
TBL_BINGO_REWARD_NORMAL12,Pork,50.0
TBL_BINGO_REWARD_NORMAL13,Pork,50.0
TBL_BINGO_REWARD_NORMAL14,Pork,50.0
TBL_BINGO_REWARD_NORMAL15,Key,20.0
TBL_BINGO_REWARD_NORMAL16,Key,20.0
TBL_BINGO_REWARD_NORMAL17,Key,20.0
TBL_BINGO_REWARD_NORMAL18,Key,20.0
TBL_BINGO_REWARD_NORMAL19,Key,20.0
TBL_BINGO_REWARD_NORMAL20,Ruby,1000.0
TBL_BINGO_REWARD_NORMAL21,Ruby,1000.0
TBL_BINGO_REWARD_NORMAL22,GoldTicket,5.0
TBL_BINGO_REWARD_NORMAL23,GoldTicket,3.0
TBL_BINGO_REWARD_NORMAL24,GoldTicket,2.0
