name,Value
GachaEquipmentAdMaxCount,5.0
GachaWeapon5Cost,500.0
GachaWeapon25Cost,2000.0
GachaWeapon50Cost,4000.0
GachaWeapon125Cost,10000.0
GachaShield5Cost,500.0
GachaShield25Cost,2000.0
GachaShield50Cost,4000.0
GachaShield125Cost,10000.0
GachaAcc5Cost,1500.0
GachaAcc25Cost,6000.0
GachaAcc50Cost,12000.0
GachaAcc125Cost,30000.0
GachaSkillAdMaxCount,5.0
GachaSkill5Cost,1000.0
GachaSkill10Cost,2000.0
GachaSkill20Cost,4000.0
GachaArtifactAdMaxCount,1.0
GachaArtifact1Cost,5000.0
GachaArtifact5Cost,22000.0
GachaRuneAdMaxCount,3.0
GachaRuneCost,5000.0
GachaRuneCountFactor,10.0
StageBossTime,60.0
AbilityRandomBaseCost,500.0
AbilityRandomAddCost,200.0
MasteryResetCost,1000.0
LUCK_TIME,1800.0
ROYAL_FORCE_SUPER_DEFAULT_COST,100.0
ROYAL_FORCE_SUPER_ADD_COST,200.0
HERO_PASSIVE_SUPER_DEFAULT_COST,100.0
HERO_PASSIVE_SUPER_ADD_COST,200.0
AdShopMaxCount,3.0
SKILL_1_UNLOCK_LEVEL,0.0
SKILL_1_UNLOCK_COST,0.0
SKILL_2_UNLOCK_LEVEL,0.0
SKILL_2_UNLOCK_COST,0.0
SKILL_3_UNLOCK_LEVEL,100.0
SKILL_3_UNLOCK_COST,50000.0
SKILL_4_UNLOCK_LEVEL,150.0
SKILL_4_UNLOCK_COST,100000.0
SKILL_5_UNLOCK_LEVEL,200.0
SKILL_5_UNLOCK_COST,200000.0
SKILL_6_UNLOCK_LEVEL,250.0
SKILL_6_UNLOCK_COST,500000.0
DUNGEON_CAVE_ADD_TIME,3.0
GROWTH_DEFAULT_Damage,1.0
GROWTH_DEFAULT_Health,10.0
GROWTH_DEFAULT_HealthRecovery,1.0
GROWTH_DEFAULT_CriticalChance1,0.0
GROWTH_DEFAULT_CriticalDamageRate1,0.0
GROWTH_DEFAULT_CriticalChance2,0.0
GROWTH_DEFAULT_CriticalDamageRate2,0.0
GROWTH_DEFAULT_CriticalChance3,0.0
GROWTH_DEFAULT_CriticalDamageRate3,0.0
GROWTH_DEFAULT_CriticalChance4,0.0
GROWTH_DEFAULT_CriticalDamageRate4,0.0
GROWTH_DEFAULT_CriticalChance5,0.0
GROWTH_DEFAULT_CriticalDamageRate5,0.0
CAVE_HEALTH_START,1000.0
CAVE_HEALTH_MULTIPLY,1.600000023841858
CAVE_ENTER_GOLD_TICKET_COST,1.0
CAVE_ENTER_COOL_TIME,1.0
COLOSSEUM_HEALTH_START,50000000.0
COLOSSEUM_HEALTH_MULTIPLY,1.899999976158142
COLOSSEUM_REWARD_COUNT_START,100.0
COLOSSEUM_REWARD_COUNT_MULTIPLY,50.0
LEVEL_UP_RUBY,200.0
LEVEL_UP_PORK,5.0
LEVEL_UP_KEY,3.0
UNLOCK_LEVEL_HERO,10.0
UNLOCK_LEVEL_EQUIPMENT,3.0
UNLOCK_LEVEL_TREASURE,5.0
UNLOCK_LEVEL_DUNGEON,7.0
UNLOCK_LEVEL_MINE,40.0
UNLOCK_LEVEL_DUNGEON_CAVE,20.0
UNLOCK_LEVEL_DUNGEON_INFINITETOWER,15.0
UNLOCK_LEVEL_DUNGEON_COLOSSEUM,30.0
UNLOCK_LEVEL_ADVENTURE,7.0
UNLOCK_LEVEL_EQUIPMENT_ACC,120.0
UNLOCK_LEVEL_CHAT,20.0
UNLOCK_LEVEL_ARTIFACT,150.0
GACHA_COUPON_WEAPON_COUNT,5.0
GACHA_COUPON_WEAPON_COST,1.0
GACHA_COUPON_ARMOR_COUNT,5.0
GACHA_COUPON_ARMOR_COST,1.0
GACHA_COUPON_ACC_COUNT,5.0
GACHA_COUPON_ACC_COST,3.0
GACHA_COUPON_SKILL_COUNT,5.0
GACHA_COUPON_SKILL_COST,2.0
BLESS_AD_DAILY_MAX_COUNT,5.0
UNLOCK_LEVEL_COUPON,30.0
PRESET_UNLOCK_COST,50000.0
MOLE_DAILY_TOYHAMMER,30.0
MOLE_AD_MAX_COUNT,5.0
MOLE_AD_TOYHAMMER,20.0
GACHA_COUPON_ARTIFACT_COUNT,1.0
GACHA_COUPON_ARTIFACT_COST,10.0
BINGO_DAILY_CHANCE_MAX_COUNT,15.0
BINGO_DAILY_CHANCE_TIME,1200.0
ADVENTURE_BATTLE_MAX_TIME,90.0
ATTENDANCE_BUFF_RESTORE_DAY_COST,2000.0
