name,RewardType,RewardCount
TBL_DICE_REWARD0,Ruby,20000.0
TBL_DICE_REWARD1,Pork,300.0
TBL_DICE_REWARD2,SkipTicket,30.0
TBL_DICE_REWARD3,GachaCoupon,20.0
TBL_DICE_REWARD4,GoldTicket,7.0
TBL_DICE_REWARD5,Key,200.0
TBL_DICE_REWARD6,Ruby,3000.0
TBL_DICE_REWARD7,Ruby,5000.0
TBL_DICE_REWARD8,Ruby,20000.0
TBL_DICE_REWARD9,Pork,500.0
TBL_DICE_REWARD10,SkipTicket,30.0
TBL_DICE_REWARD11,Key,300.0
TBL_DICE_REWARD12,GoldTicket,10.0
TBL_DICE_REWARD13,ToyHammer,50.0
TBL_DICE_REWARD14,GachaCoupon,30.0
TBL_DICE_REWARD15,Pork,400.0
