name,DungeonType,Level,Value,Health,Damage,Exp,Gold,PigJelly,TimePiece,MaxTime,NormalMonsters,MonsterCount,WaveCount,WaveGap,SpawnGap,BossMonster,BossValue,BossDamageRate,BossDodge,RewardType,RewardIndex,RewardCount,PorkCost,KeyCost,Rewards,FirstRewardType,FirstRewardCount,RequireLevel
PigCow_01,PigCow,1,80.0,80.0,0.0,100.0,0.0,8000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,20.0,0.2,50.0,PigJelly,0,0.0,2.0,0.0,,Gold,0.0,0
PigCow_02,PigCow,2,480.0,480.0,0.0,600.0,0.0,48000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,40.0,0.4,100.0,PigJelly,0,0.0,4.0,0.0,,Gold,0.0,0
PigCow_03,PigCow,3,1920.0,1920.0,0.0,2400.0,0.0,192000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,60.0,0.6,150.0,PigJelly,0,0.0,6.0,0.0,,Gold,0.0,0
PigCow_04,PigCow,4,8000.0,8000.0,0.0,10000.0,0.0,800000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,100.0,0.8,200.0,PigJelly,0,0.0,10.0,0.0,,Gold,0.0,0
PigCow_05,PigCow,5,26880.0,26880.0,0.0,33600.0,0.0,2688000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,140.0,1.0,250.0,PigJelly,0,0.0,14.0,0.0,,Gold,0.0,0
PigCow_06,PigCow,6,102400.0,102400.0,0.0,128000.0,0.0,10240000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,200.0,3.0,300.0,PigJelly,0,0.0,20.0,0.0,,Gold,0.0,0
PigCow_07,PigCow,7,332800.0,332800.0,0.0,416000.0,0.0,33280000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,260.0,5.0,400.0,PigJelly,0,0.0,26.0,0.0,,Gold,0.0,0
PigCow_08,PigCow,8,870400.0,870400.0,0.0,1088000.0,0.0,87040000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,340.0,7.0,500.0,PigJelly,0,0.0,34.0,0.0,,Gold,0.0,0
PigCow_09,PigCow,9,2150400.0,2150400.0,0.0,2688000.0,0.0,215040000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,420.0,9.0,600.0,PigJelly,0,0.0,42.0,0.0,,Gold,0.0,0
PigCow_10,PigCow,10,5324800.0,5324800.0,0.0,6656000.0,0.0,532480000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,520.0,12.0,700.0,PigJelly,0,0.0,52.0,0.0,,Gold,0.0,0
PigCow_11,PigCow,11,12697600.0,12697600.0,0.0,15872000.0,0.0,1269760000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,620.0,15.0,800.0,PigJelly,0,0.0,62.0,0.0,,Gold,0.0,0
PigCow_12,PigCow,12,30310400.0,30310400.0,0.0,37888000.0,0.0,3031040000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,740.0,20.0,900.0,PigJelly,0,0.0,74.0,0.0,,Gold,0.0,0
PigCow_13,PigCow,13,70451200.0,70451200.0,0.0,88064000.0,0.0,7045120000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,860.0,25.0,1000.0,PigJelly,0,0.0,86.0,0.0,,Gold,0.0,0
PigCow_14,PigCow,14,163840000.0,163840000.0,0.0,204800000.0,0.0,16384000000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,1000.0,30.0,1500.0,PigJelly,0,0.0,100.0,0.0,,Gold,0.0,0
PigCow_15,PigCow,15,373555200.0,373555200.0,0.0,466944000.0,0.0,37355520000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,1140.0,35.0,2000.0,PigJelly,0,0.0,114.0,0.0,,Gold,0.0,0
PigCow_16,PigCow,16,851968000.0,851968000.0,0.0,1064960000.0,0.0,85196800000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,1300.0,40.0,2500.0,PigJelly,0,0.0,130.0,0.0,,Gold,0.0,0
PigCow_17,PigCow,17,1913651200.0,1913651200.0,0.0,2392064000.0,0.0,191365120000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,1460.0,50.0,3000.0,PigJelly,0,0.0,146.0,0.0,,Gold,0.0,0
PigCow_18,PigCow,18,4299161600.0,4299161600.0,0.0,5373952000.0,0.0,429916160000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,1640.0,70.0,3500.0,PigJelly,0,0.0,164.0,0.0,,Gold,0.0,0
PigCow_19,PigCow,19,9542041600.0,9542041600.0,0.0,11927552000.0,0.0,954204160000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,1820.0,90.0,4000.0,PigJelly,0,0.0,182.0,0.0,,Gold,0.0,0
PigCow_20,PigCow,20,20971520000.0,20971520000000.0,0.0,26214400000.0,0.0,2097152000000.0,0.0,60.0,PigCowQueen,5,6,5.0,1.2999999523162842,PigCowKing,2000.0,100.0,5000.0,PigJelly,0,0.0,200.0,0.0,,Gold,0.0,0
FishFight_01,FishFight,1,80.0,80.0,0.0,100.0,16000.0,0.0,0.0,60.0,FishRed,5,6,5.0,1.2999999523162842,FishBlack,20.0,0.2,50.0,Gold,0,0.0,2.0,0.0,,Gold,0.0,0
FishFight_02,FishFight,2,480.0,480.0,0.0,600.0,96000.0,0.0,0.0,60.0,FishRed,5,6,5.0,1.2999999523162842,FishBlack,40.0,0.4,100.0,Gold,0,0.0,4.0,0.0,,Gold,0.0,0
FishFight_03,FishFight,3,1920.0,1920.0,0.0,2400.0,384000.0,0.0,0.0,60.0,FishRed,5,6,5.0,1.2999999523162842,FishBlack,60.0,0.6,150.0,Gold,0,0.0,6.0,0.0,,Gold,0.0,0
FishFight_04,FishFight,4,8000.0,8000.0,0.0,10000.0,1600000.0,0.0,0.0,60.0,FishRed,5,6,5.0,1.2999999523162842,FishBlack,100.0,0.8,200.0,Gold,0,0.0,10.0,0.0,,Gold,0.0,0
FishFight_05,FishFight,5,26880.0,26880.0,0.0,33600.0,5376000.0,0.0,0.0,60.0,FishRed,5,6,5.0,1.2999999523162842,FishBlack,140.0,1.0,250.0,Gold,0,0.0,14.0,0.0,,Gold,0.0,0
FishFight_06,FishFight,6,102400.0,102400.0,0.0,128000.0,20480000.0,0.0,0.0,60.0,FishRed,5,6,5.0,1.2999999523162842,FishBlack,200.0,3.0,300.0,Gold,0,0.0,20.0,0.0,,Gold,0.0,0
FishFight_07,FishFight,7,332800.0,332800.0,0.0,416000.0,66560000.0,0.0,0.0,60.0,FishRed,5,6,5.0,1.2999999523162842,FishBlack,260.0,5.0,400.0,Gold,0,0.0,26.0,0.0,,Gold,0.0,0
FishFight_08,FishFight,8,870400.0,870400.0,0.0,1088000.0,174080000.0,0.0,0.0,60.0,FishRed,5,6,5.0,1.2999999523162842,FishBlack,340.0,7.0,500.0,Gold,0,0.0,34.0,0.0,,Gold,0.0,0
FishFight_09,FishFight,9,2150400.0,2150400.0,0.0,2688000.0,430080000.0,0.0,0.0,60.0,FishRed,5,6,5.0,1.2999999523162842,FishBlack,420.0,9.0,600.0,Gold,0,0.0,42.0,0.0,,Gold,0.0,0
