name,Level,TBL_EQUIPMENT_BONUS_WRAP,NeedCount,EquipmentRewardIndex,EquipmentRewardCount
TBl_EQNUIPMENT_BONUS0,1,무기 보너스,100,5,1
TBl_EQNUIPMENT_BONUS1,2,무기 보너스,250,6,1
TBl_EQNUIPMENT_BONUS2,3,무기 보너스,500,7,1
TBl_EQNUIPMENT_BONUS3,4,무기 보너스,900,8,1
TBl_EQNUIPMENT_BONUS4,5,무기 보너스,1500,9,1
TBl_EQNUIPMENT_BONUS5,6,무기 보너스,2500,10,1
TBl_EQNUIPMENT_BONUS6,7,무기 보너스,3500,11,1
TBl_EQNUIPMENT_BONUS7,8,무기 보너스,5500,12,1
TBl_EQNUIPMENT_BONUS8,9,무기 보너스,8000,13,1
TBl_EQNUIPMENT_BONUS9,10,무기 보너스,11000,14,1
TBl_EQNUIPMENT_BONUS10,11,무기 보너스,15000,15,1
TBl_EQNUIPMENT_BONUS11,12,무기 보너스,19000,16,1
TBl_EQNUIPMENT_BONUS12,13,무기 보너스,25500,17,1
TBl_EQNUIPMENT_BONUS13,14,무기 보너스,32500,18,1
TBl_EQNUIPMENT_BONUS14,15,무기 보너스,51000,19,1
TBl_EQNUIPMENT_BONUS15,16,무기 보너스,63000,20,1
TBl_EQNUIPMENT_BONUS16,17,무기 보너스,77000,21,1
TBl_EQNUIPMENT_BONUS17,18,무기 보너스,95000,22,1
TBl_EQNUIPMENT_BONUS18,19,무기 보너스,115000,24,1
TBl_EQNUIPMENT_BONUS19,20,무기 보너스,141000,25,1
TBl_EQNUIPMENT_BONUS20,21,무기 보너스,175000,25,2
TBl_EQNUIPMENT_BONUS21,22,무기 보너스,230000,25,3
TBl_EQNUIPMENT_BONUS22,23,무기 보너스,280000,25,4
TBl_EQNUIPMENT_BONUS23,24,무기 보너스,370000,25,5
TBl_EQNUIPMENT_BONUS24,25,무기 보너스,470000,25,6
TBl_EQNUIPMENT_BONUS25,26,무기 보너스,620000,25,7
TBl_EQNUIPMENT_BONUS26,27,무기 보너스,850000,25,8
TBl_EQNUIPMENT_BONUS27,28,무기 보너스,1000000,25,9
TBl_EQNUIPMENT_BONUS28,29,무기 보너스,1300000,25,10
TBl_EQNUIPMENT_BONUS29,30,무기 보너스,1700000,25,11
TBl_EQNUIPMENT_BONUS30,31,무기 보너스,2500000,25,12
TBl_EQNUIPMENT_BONUS31,32,무기 보너스,3000000,25,13
TBl_EQNUIPMENT_BONUS32,1,방패 보너스,100,5,1
TBl_EQNUIPMENT_BONUS33,2,방패 보너스,250,6,1
TBl_EQNUIPMENT_BONUS34,3,방패 보너스,500,7,1
