name,Level,Value
TBL_EQUIPMENT_LEVEL0,50,1.0
TBL_EQUIPMENT_LEVEL1,100,2.0
TBL_EQUIPMENT_LEVEL2,110,4.0
TBL_EQUIPMENT_LEVEL3,120,6.0
TBL_EQUIPMENT_LEVEL4,130,8.0
TBL_EQUIPMENT_LEVEL5,140,10.0
TBL_EQUIPMENT_LEVEL6,150,12.0
TBL_EQUIPMENT_LEVEL7,160,14.0
TBL_EQUIPMENT_LEVEL8,170,16.0
TBL_EQUIPMENT_LEVEL9,180,18.0
TBL_EQUIPMENT_LEVEL10,190,20.0
TBL_EQUIPMENT_LEVEL11,200,30.0
TBL_EQUIPMENT_LEVEL12,210,50.0
TBL_EQUIPMENT_LEVEL13,220,100.0
TBL_EQUIPMENT_LEVEL14,230,200.0
TBL_EQUIPMENT_LEVEL15,240,2000.0
TBL_EQUIPMENT_LEVEL16,250,20000.0
TBL_EQUIPMENT_LEVEL17,260,200000.0
TBL_EQUIPMENT_LEVEL18,280,2000000.0
TBL_EQUIPMENT_LEVEL19,290,20000000.0
TBL_EQUIPMENT_LEVEL20,300,200000000.0
TBL_EQUIPMENT_LEVEL21,1000,200000000.0
