name,TBL_EVENT_LEVEL,NeedLevel,NormalRewardType,NormalRewardCount,SpecialRewardType,SpecialRewardCount
TBL_EVENT_LEVEL_DATA0,레벨업 이벤트 I,5,Ruby,500.0,Ruby,1000.0
TBL_EVENT_LEVEL_DATA1,레벨업 이벤트 I,10,Ruby,500.0,Ruby,1000.0
TBL_EVENT_LEVEL_DATA2,레벨업 이벤트 I,15,Ruby,500.0,Ruby,1000.0
TBL_EVENT_LEVEL_DATA3,레벨업 이벤트 I,20,Ruby,500.0,Ruby,1500.0
TBL_EVENT_LEVEL_DATA4,레벨업 이벤트 I,25,Ruby,500.0,Ruby,1500.0
TBL_EVENT_LEVEL_DATA5,레벨업 이벤트 I,30,Ruby,500.0,Ruby,1500.0
TBL_EVENT_LEVEL_DATA6,레벨업 이벤트 I,35,Ruby,500.0,Ruby,2000.0
TBL_EVENT_LEVEL_DATA7,레벨업 이벤트 I,40,Ruby,500.0,Ruby,2000.0
TBL_EVENT_LEVEL_DATA8,레벨업 이벤트 I,45,Ruby,500.0,Ruby,2000.0
TBL_EVENT_LEVEL_DATA9,레벨업 이벤트 I,50,Ruby,500.0,Ruby,2500.0
TBL_EVENT_LEVEL_DATA10,레벨업 이벤트 I,55,Ruby,500.0,Ruby,2500.0
TBL_EVENT_LEVEL_DATA11,레벨업 이벤트 I,60,Ruby,500.0,Ruby,2500.0
TBL_EVENT_LEVEL_DATA12,레벨업 이벤트 I,65,Ruby,500.0,Ruby,3000.0
TBL_EVENT_LEVEL_DATA13,레벨업 이벤트 I,70,Ruby,500.0,Ruby,3000.0
TBL_EVENT_LEVEL_DATA14,레벨업 이벤트 I,75,Ruby,500.0,Ruby,3000.0
TBL_EVENT_LEVEL_DATA15,레벨업 이벤트 I,80,Ruby,500.0,Ruby,3500.0
TBL_EVENT_LEVEL_DATA16,레벨업 이벤트 I,85,Ruby,500.0,Ruby,3500.0
TBL_EVENT_LEVEL_DATA17,레벨업 이벤트 I,90,Ruby,500.0,Ruby,3500.0
TBL_EVENT_LEVEL_DATA18,레벨업 이벤트 I,95,Ruby,500.0,Ruby,4000.0
TBL_EVENT_LEVEL_DATA19,레벨업 이벤트 I,100,Ruby,1000.0,Ruby,4000.0
TBL_EVENT_LEVEL_DATA20,레벨업 이벤트 I,105,Ruby,1000.0,Ruby,4000.0
TBL_EVENT_LEVEL_DATA21,레벨업 이벤트 I,110,Ruby,1000.0,Ruby,4500.0
TBL_EVENT_LEVEL_DATA22,레벨업 이벤트 I,115,Ruby,1000.0,Ruby,4500.0
TBL_EVENT_LEVEL_DATA23,레벨업 이벤트 I,120,Ruby,1000.0,Ruby,4500.0
TBL_EVENT_LEVEL_DATA24,레벨업 이벤트 I,125,Ruby,1000.0,Ruby,5000.0
TBL_EVENT_LEVEL_DATA25,레벨업 이벤트 I,130,Ruby,1000.0,Ruby,5000.0
TBL_EVENT_LEVEL_DATA26,레벨업 이벤트 I,135,Ruby,1000.0,Ruby,5000.0
TBL_EVENT_LEVEL_DATA27,레벨업 이벤트 I,140,Ruby,1000.0,Ruby,5500.0
TBL_EVENT_LEVEL_DATA28,레벨업 이벤트 I,145,Ruby,1000.0,Ruby,5500.0
TBL_EVENT_LEVEL_DATA29,레벨업 이벤트 II,150,Ruby,1000.0,Ruby,5500.0
TBL_EVENT_LEVEL_DATA30,레벨업 이벤트 II,155,Ruby,1000.0,Ruby,6000.0
TBL_EVENT_LEVEL_DATA31,레벨업 이벤트 II,160,Ruby,1000.0,Ruby,6000.0
TBL_EVENT_LEVEL_DATA32,레벨업 이벤트 II,165,Ruby,1000.0,Ruby,6000.0
TBL_EVENT_LEVEL_DATA33,레벨업 이벤트 II,170,Ruby,1000.0,Ruby,6500.0
TBL_EVENT_LEVEL_DATA34,레벨업 이벤트 II,175,Ruby,1000.0,Ruby,6500.0
TBL_EVENT_LEVEL_DATA35,레벨업 이벤트 II,180,Ruby,1000.0,Ruby,6500.0
TBL_EVENT_LEVEL_DATA36,레벨업 이벤트 II,185,Ruby,1000.0,Ruby,7000.0
TBL_EVENT_LEVEL_DATA37,레벨업 이벤트 II,190,Ruby,1000.0,Ruby,7000.0
TBL_EVENT_LEVEL_DATA38,레벨업 이벤트 II,195,Ruby,1000.0,Ruby,7000.0
TBL_EVENT_LEVEL_DATA39,레벨업 이벤트 II,200,Ruby,1500.0,Ruby,7500.0
TBL_EVENT_LEVEL_DATA40,레벨업 이벤트 II,205,Ruby,1500.0,Ruby,7500.0
TBL_EVENT_LEVEL_DATA41,레벨업 이벤트 II,210,Ruby,1500.0,Ruby,7500.0
TBL_EVENT_LEVEL_DATA42,레벨업 이벤트 II,215,Ruby,1500.0,Ruby,8000.0
TBL_EVENT_LEVEL_DATA43,레벨업 이벤트 II,220,Ruby,1500.0,Ruby,8000.0
TBL_EVENT_LEVEL_DATA44,레벨업 이벤트 II,225,Ruby,1500.0,Ruby,8000.0
TBL_EVENT_LEVEL_DATA45,레벨업 이벤트 II,230,Ruby,1500.0,Ruby,8500.0
TBL_EVENT_LEVEL_DATA46,레벨업 이벤트 II,235,Ruby,1500.0,Ruby,8500.0
TBL_EVENT_LEVEL_DATA47,레벨업 이벤트 II,240,Ruby,1500.0,Ruby,8500.0
TBL_EVENT_LEVEL_DATA48,레벨업 이벤트 II,245,Ruby,1500.0,Ruby,9000.0
TBL_EVENT_LEVEL_DATA49,레벨업 이벤트 II,250,Ruby,1500.0,Ruby,9000.0
TBL_EVENT_LEVEL_DATA50,레벨업 이벤트 II,255,Ruby,1500.0,Ruby,9000.0
TBL_EVENT_LEVEL_DATA51,레벨업 이벤트 II,260,Ruby,1500.0,Ruby,9500.0
TBL_EVENT_LEVEL_DATA52,레벨업 이벤트 II,265,Ruby,1500.0,Ruby,9500.0
TBL_EVENT_LEVEL_DATA53,레벨업 이벤트 II,270,Ruby,1500.0,Ruby,9500.0
TBL_EVENT_LEVEL_DATA54,레벨업 이벤트 II,275,Ruby,1500.0,Ruby,10000.0
TBL_EVENT_LEVEL_DATA55,레벨업 이벤트 II,280,Ruby,1500.0,Ruby,10000.0
TBL_EVENT_LEVEL_DATA56,레벨업 이벤트 II,285,Ruby,1500.0,Ruby,10000.0
TBL_EVENT_LEVEL_DATA57,레벨업 이벤트 II,290,Ruby,1500.0,Ruby,10500.0
TBL_EVENT_LEVEL_DATA58,레벨업 이벤트 II,295,Ruby,1500.0,Ruby,10500.0
TBL_EVENT_LEVEL_DATA59,레벨업 이벤트 III,300,Ruby,2000.0,Ruby,10500.0
TBL_EVENT_LEVEL_DATA60,레벨업 이벤트 III,305,Ruby,2000.0,Ruby,11000.0
TBL_EVENT_LEVEL_DATA61,레벨업 이벤트 III,310,Ruby,2000.0,Ruby,11000.0
TBL_EVENT_LEVEL_DATA62,레벨업 이벤트 III,315,Ruby,2000.0,Ruby,11000.0
TBL_EVENT_LEVEL_DATA63,레벨업 이벤트 III,320,Ruby,2000.0,Ruby,11500.0
TBL_EVENT_LEVEL_DATA64,레벨업 이벤트 III,325,Ruby,2000.0,Ruby,11500.0
TBL_EVENT_LEVEL_DATA65,레벨업 이벤트 III,330,Ruby,2000.0,Ruby,11500.0
TBL_EVENT_LEVEL_DATA66,레벨업 이벤트 III,335,Ruby,2000.0,Ruby,12000.0
TBL_EVENT_LEVEL_DATA67,레벨업 이벤트 III,340,Ruby,2000.0,Ruby,12000.0
TBL_EVENT_LEVEL_DATA68,레벨업 이벤트 III,345,Ruby,2000.0,Ruby,12000.0
TBL_EVENT_LEVEL_DATA69,레벨업 이벤트 III,350,Ruby,2000.0,Ruby,12500.0
TBL_EVENT_LEVEL_DATA70,레벨업 이벤트 III,355,Ruby,2000.0,Ruby,12500.0
TBL_EVENT_LEVEL_DATA71,레벨업 이벤트 III,360,Ruby,2000.0,Ruby,12500.0
TBL_EVENT_LEVEL_DATA72,레벨업 이벤트 III,365,Ruby,2000.0,Ruby,13000.0
TBL_EVENT_LEVEL_DATA73,레벨업 이벤트 III,370,Ruby,2000.0,Ruby,13000.0
TBL_EVENT_LEVEL_DATA74,레벨업 이벤트 III,375,Ruby,2000.0,Ruby,13000.0
TBL_EVENT_LEVEL_DATA75,레벨업 이벤트 III,380,Ruby,2000.0,Ruby,13500.0
TBL_EVENT_LEVEL_DATA76,레벨업 이벤트 III,385,Ruby,2000.0,Ruby,13500.0
TBL_EVENT_LEVEL_DATA77,레벨업 이벤트 III,390,Ruby,2000.0,Ruby,13500.0
TBL_EVENT_LEVEL_DATA78,레벨업 이벤트 III,395,Ruby,2000.0,Ruby,14000.0
TBL_EVENT_LEVEL_DATA79,레벨업 이벤트 III,400,Ruby,2500.0,Ruby,14000.0
TBL_EVENT_LEVEL_DATA80,레벨업 이벤트 III,405,Ruby,2500.0,Ruby,14000.0
TBL_EVENT_LEVEL_DATA81,레벨업 이벤트 III,410,Ruby,2500.0,Ruby,14500.0
TBL_EVENT_LEVEL_DATA82,레벨업 이벤트 III,415,Ruby,2500.0,Ruby,14500.0
TBL_EVENT_LEVEL_DATA83,레벨업 이벤트 III,420,Ruby,2500.0,Ruby,14500.0
TBL_EVENT_LEVEL_DATA84,레벨업 이벤트 III,425,Ruby,2500.0,Ruby,15000.0
TBL_EVENT_LEVEL_DATA85,레벨업 이벤트 III,430,Ruby,2500.0,Ruby,15000.0
TBL_EVENT_LEVEL_DATA86,레벨업 이벤트 III,435,Ruby,2500.0,Ruby,15000.0
TBL_EVENT_LEVEL_DATA87,레벨업 이벤트 III,440,Ruby,2500.0,Ruby,15500.0
TBL_EVENT_LEVEL_DATA88,레벨업 이벤트 III,445,Ruby,2500.0,Ruby,15500.0
TBL_EVENT_LEVEL_DATA89,레벨업 이벤트 IV,450,Ruby,2500.0,Ruby,15500.0
TBL_EVENT_LEVEL_DATA90,레벨업 이벤트 IV,455,Ruby,2500.0,Ruby,16000.0
TBL_EVENT_LEVEL_DATA91,레벨업 이벤트 IV,460,Ruby,2500.0,Ruby,16000.0
TBL_EVENT_LEVEL_DATA92,레벨업 이벤트 IV,465,Ruby,2500.0,Ruby,16000.0
TBL_EVENT_LEVEL_DATA93,레벨업 이벤트 IV,470,Ruby,2500.0,Ruby,16500.0
TBL_EVENT_LEVEL_DATA94,레벨업 이벤트 IV,475,Ruby,2500.0,Ruby,16500.0
TBL_EVENT_LEVEL_DATA95,레벨업 이벤트 IV,480,Ruby,2500.0,Ruby,16500.0
TBL_EVENT_LEVEL_DATA96,레벨업 이벤트 IV,485,Ruby,2500.0,Ruby,17000.0
TBL_EVENT_LEVEL_DATA97,레벨업 이벤트 IV,490,Ruby,2500.0,Ruby,17000.0
TBL_EVENT_LEVEL_DATA98,레벨업 이벤트 IV,495,Ruby,2500.0,Ruby,17000.0
TBL_EVENT_LEVEL_DATA99,레벨업 이벤트 IV,500,Ruby,3000.0,Ruby,17500.0
TBL_EVENT_LEVEL_DATA100,레벨업 이벤트 IV,505,Ruby,3000.0,Ruby,17500.0
TBL_EVENT_LEVEL_DATA101,레벨업 이벤트 IV,510,Ruby,3000.0,Ruby,17500.0
TBL_EVENT_LEVEL_DATA102,레벨업 이벤트 IV,515,Ruby,3000.0,Ruby,18000.0
TBL_EVENT_LEVEL_DATA103,레벨업 이벤트 IV,520,Ruby,3000.0,Ruby,18000.0
TBL_EVENT_LEVEL_DATA104,레벨업 이벤트 IV,525,Ruby,3000.0,Ruby,18000.0
TBL_EVENT_LEVEL_DATA105,레벨업 이벤트 IV,530,Ruby,3000.0,Ruby,18500.0
TBL_EVENT_LEVEL_DATA106,레벨업 이벤트 IV,535,Ruby,3000.0,Ruby,18500.0
TBL_EVENT_LEVEL_DATA107,레벨업 이벤트 IV,540,Ruby,3000.0,Ruby,18500.0
TBL_EVENT_LEVEL_DATA108,레벨업 이벤트 IV,545,Ruby,3000.0,Ruby,19000.0
TBL_EVENT_LEVEL_DATA109,레벨업 이벤트 IV,550,Ruby,3000.0,Ruby,19000.0
TBL_EVENT_LEVEL_DATA110,레벨업 이벤트 IV,555,Ruby,3000.0,Ruby,19000.0
TBL_EVENT_LEVEL_DATA111,레벨업 이벤트 IV,560,Ruby,3000.0,Ruby,19500.0
TBL_EVENT_LEVEL_DATA112,레벨업 이벤트 IV,565,Ruby,3000.0,Ruby,19500.0
TBL_EVENT_LEVEL_DATA113,레벨업 이벤트 IV,570,Ruby,3000.0,Ruby,19500.0
TBL_EVENT_LEVEL_DATA114,레벨업 이벤트 IV,575,Ruby,3000.0,Ruby,20000.0
TBL_EVENT_LEVEL_DATA115,레벨업 이벤트 IV,580,Ruby,3000.0,Ruby,20000.0
TBL_EVENT_LEVEL_DATA116,레벨업 이벤트 IV,585,Ruby,3000.0,Ruby,20000.0
TBL_EVENT_LEVEL_DATA117,레벨업 이벤트 IV,590,Ruby,3000.0,Ruby,20500.0
TBL_EVENT_LEVEL_DATA118,레벨업 이벤트 IV,595,Ruby,3000.0,Ruby,20500.0
