name,TBL_EVENT_STAGE,NeedStage,NormalRewardType,NormalRewardCount,SpecialRewardType,SpecialRewardCount
TBL_EVENT_STAGE_DATA0,스테이지 클리어 이벤트 I,10,Ruby,500.0,Ruby,1000.0
TBL_EVENT_STAGE_DATA1,스테이지 클리어 이벤트 I,20,Ruby,1000.0,Ruby,2000.0
TBL_EVENT_STAGE_DATA2,스테이지 클리어 이벤트 I,30,Ruby,1500.0,Ruby,3000.0
TBL_EVENT_STAGE_DATA3,스테이지 클리어 이벤트 I,40,Ruby,2000.0,Ruby,4000.0
TBL_EVENT_STAGE_DATA4,스테이지 클리어 이벤트 I,50,Ruby,2500.0,Ruby,5000.0
TBL_EVENT_STAGE_DATA5,스테이지 클리어 이벤트 I,60,Ruby,3000.0,Ruby,6000.0
TBL_EVENT_STAGE_DATA6,스테이지 클리어 이벤트 I,70,Ruby,3500.0,Ruby,7000.0
TBL_EVENT_STAGE_DATA7,스테이지 클리어 이벤트 I,80,Ruby,4000.0,Ruby,8000.0
TBL_EVENT_STAGE_DATA8,스테이지 클리어 이벤트 I,90,Ruby,4500.0,Ruby,9000.0
TBL_EVENT_STAGE_DATA9,스테이지 클리어 이벤트 I,100,Ruby,5000.0,Ruby,10000.0
TBL_EVENT_STAGE_DATA10,스테이지 클리어 이벤트 I,110,Ruby,5500.0,Ruby,11000.0
TBL_EVENT_STAGE_DATA11,스테이지 클리어 이벤트 I,120,Ruby,6000.0,Ruby,12000.0
TBL_EVENT_STAGE_DATA12,스테이지 클리어 이벤트 I,130,Ruby,6500.0,Ruby,13000.0
TBL_EVENT_STAGE_DATA13,스테이지 클리어 이벤트 I,140,Ruby,7000.0,Ruby,14000.0
TBL_EVENT_STAGE_DATA14,스테이지 클리어 이벤트 I,150,Ruby,7500.0,Ruby,15000.0
TBL_EVENT_STAGE_DATA15,스테이지 클리어 이벤트 I,160,Ruby,8000.0,Ruby,16000.0
TBL_EVENT_STAGE_DATA16,스테이지 클리어 이벤트 I,170,Ruby,8500.0,Ruby,17000.0
TBL_EVENT_STAGE_DATA17,스테이지 클리어 이벤트 I,180,Ruby,9000.0,Ruby,18000.0
TBL_EVENT_STAGE_DATA18,스테이지 클리어 이벤트 I,190,Ruby,9500.0,Ruby,19000.0
TBL_EVENT_STAGE_DATA19,스테이지 클리어 이벤트 I,200,Ruby,10000.0,Ruby,20000.0
TBL_EVENT_STAGE_DATA20,스테이지 클리어 이벤트 I,210,Ruby,10500.0,Ruby,21000.0
TBL_EVENT_STAGE_DATA21,스테이지 클리어 이벤트 I,220,Ruby,11000.0,Ruby,22000.0
TBL_EVENT_STAGE_DATA22,스테이지 클리어 이벤트 I,230,Ruby,11500.0,Ruby,23000.0
TBL_EVENT_STAGE_DATA23,스테이지 클리어 이벤트 I,240,Ruby,12000.0,Ruby,24000.0
