name,GuideMissionType,CompleteCount,RewardType,RewardAmount,DescriptionText
TBL_GUIDE_MISSION0,Attendance,1,Gold,10000.0,GuideMission.Description.Attendance
TBL_GUIDE_MISSION1,RoyalGrowthDamageLevel,20,Ruby,100.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION2,RoyalGrowthDamageLevel,20,Ruby,100.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION3,Level,3,Gold,20000.0,GuideMission.Description.Level
TBL_GUIDE_MISSION4,MonsterKill,30,PigJelly,5000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION5,Stage,1,Gold,50000.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION6,RoyalGrowthDamageLevel,30,Ruby,200.0,GuideMission.Description.RoyalGrowthDamageLevel
TBL_GUIDE_MISSION7,RoyalGrowthHealthLevel,30,Ruby,200.0,GuideMission.Description.RoyalGrowthHealthLevel
TBL_GUIDE_MISSION8,RoyalGrowthCriticalChance1Level,6,Gold,50000.0,GuideMission.Description.RoyalGrowthCriticalChance1Level
TBL_GUIDE_MISSION9,RoyalGrowthCriticalDamageRate1Level,3,Ruby,200.0,GuideMission.Description.RoyalGrowthCriticalDamageRate1Level
TBL_GUIDE_MISSION10,RoyalForceAttackSpeedLevel,10,PigJelly,5000.0,GuideMission.Description.RoyalForceAttackSpeedLevel
TBL_GUIDE_MISSION11,RoyalForceMoveSpeedLevel,10,PigJelly,5000.0,GuideMission.Description.RoyalForceMoveSpeedLevel
TBL_GUIDE_MISSION12,RoyalForceCriticalLevel,10,PigJelly,5000.0,GuideMission.Description.RoyalForceCriticalLevel
TBL_GUIDE_MISSION13,RoyalForceAccLevel,10,PigJelly,5000.0,GuideMission.Description.RoyalForceAccLevel
TBL_GUIDE_MISSION14,Stage,3,PigJelly,10000.0,GuideMission.Description.Stage
TBL_GUIDE_MISSION15,MonsterKill,100,Gold,100000.0,GuideMission.Description.MonsterKill
TBL_GUIDE_MISSION16,Level,5,Ruby,200.0,GuideMission.Description.Level
TBL_GUIDE_MISSION17,BlessDamageCount,1,Ruby,200.0,GuideMission.Description.BlessDamageCount
TBL_GUIDE_MISSION18,RoyalGrowthDamageLevel,40,Ruby,300.0,GuideMission.Description.RoyalGrowthDamageLevel
