name,NeedSuccessCount,RewardType,RewardCount
TBL_MOLE_BONUS0,50,GoldTicket,10.0
TBL_MOLE_BONUS1,100,GoldTicket,10.0
TBL_MOLE_BONUS2,200,GoldTicket,10.0
TBL_MOLE_BONUS3,300,GoldTicket,10.0
TBL_MOLE_BONUS4,400,GoldTicket,10.0
TBL_MOLE_BONUS5,500,GoldTicket,10.0
TBL_MOLE_BONUS6,700,GoldTicket,10.0
TBL_MOLE_BONUS7,900,GoldTicket,10.0
TBL_MOLE_BONUS8,1100,GoldTicket,10.0
TBL_MOLE_BONUS9,1300,GoldTicket,10.0
TBL_MOLE_BONUS10,1500,GoldTicket,10.0
TBL_MOLE_BONUS11,2000,GoldTicket,10.0
TBL_MOLE_BONUS12,2500,GoldTicket,10.0
TBL_MOLE_BONUS13,3000,GoldTicket,10.0
TBL_MOLE_BONUS14,3500,GoldTicket,10.0
TBL_MOLE_BONUS15,4000,GoldTicket,10.0
TBL_MOLE_BONUS16,4500,GoldTicket,10.0
TBL_MOLE_BONUS17,5000,GoldTicket,10.0
TBL_MOLE_BONUS18,6000,GoldTicket,10.0
TBL_MOLE_BONUS19,7000,GoldTicket,10.0
TBL_MOLE_BONUS20,8000,GoldTicket,10.0
TBL_MOLE_BONUS21,9000,GoldTicket,10.0
TBL_MOLE_BONUS22,10000,GoldTicket,10.0
TBL_MOLE_BONUS23,999999999,GoldTicket,10.0
