name,MonsterKind,AttackRange,DetectRange,AttackSpeed,MoveSpeed,Height,HaveHit,NameText
PigBomb,PigBomb,1.5,2.0,3000.0,2000.0,0.6000000238418579,True,
PigBox,PigBox,1.5,2.0,3000.0,2000.0,0.6000000238418579,True,
PigCannon,PigCannon,1.5,2.0,3000.0,2000.0,0.6000000238418579,True,
PigHide,PigHide,1.5,2.0,3000.0,2000.0,0.6000000238418579,True,
PigIndian,PigIndian,1.5,2.0,3000.0,2000.0,0.6000000238418579,True,
PigKnife,PigKnife,1.5,2.0,3000.0,2000.0,0.6000000238418579,True,
PigKnight,PigKnight,1.5,2.0,3000.0,2000.0,0.6000000238418579,True,
PigWizard,PigWizard,1.5,2.0,3000.0,2000.0,0.6000000238418579,True,
Crabby,Crabby,1.5,2.0,3000.0,3000.0,0.699999988079071,True,
FierceTooth,FierceTooth,1.5,2.0,3000.0,2000.0,0.699999988079071,True,
PinkStar,PinkStar,1.5,2.0,3000.0,3000.0,0.699999988079071,True,
SeaShell,SeaShell,1.5,2.0,3000.0,2000.0,0.699999988079071,True,
Anubis,Anubis,1.5,2.0,3000.0,3000.0,1.399999976158142,False,
FlowerLion,FlowerLion,1.5,2.0,3000.0,2000.0,0.800000011920929,True,
Genie,Genie,1.5,2.0,3000.0,3000.0,1.399999976158142,False,
Khumn,Khumn,1.5,2.0,3000.0,2000.0,1.399999976158142,False,
Ra,Ra,1.5,2.0,3000.0,3000.0,1.399999976158142,False,
Sckhmcf,Sckhmcf,1.5,2.0,3000.0,3000.0,1.399999976158142,False,
YetiCannon,YetiCannon,1.5,2.0,3000.0,2000.0,1.600000023841858,False,
YetiSword,YetiSword,1.5,2.0,3000.0,2000.0,1.600000023841858,False,
PigCowKing,PigCowKing,1.5,2.0,3000.0,2000.0,1.399999976158142,True,
PigCowQueen,PigCowQueen,1.5,2.0,3000.0,2000.0,1.399999976158142,True,
FishBlack,FishBlack,1.5,2.0,3000.0,3000.0,1.399999976158142,True,
FishBlue,FishBlue,1.5,2.0,3000.0,3000.0,1.399999976158142,True,
FishGreen,FishGreen,1.5,2.0,3000.0,3000.0,1.399999976158142,True,
FishRed,FishRed,1.5,2.0,3000.0,3000.0,1.399999976158142,True,
BigPigFire,BigPigFire,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
BigPigGentleman,BigPigGentleman,1.600000023841858,2.0,3000.0,2000.0,1.899999976158142,True,
BigPigIron,BigPigIron,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
BigPigSunflower,BigPigSunflower,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
BigPigThanos,BigPigThanos,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
BIgBear,BigBear,1.600000023841858,2.0,3000.0,1000.0,0.0,True,
Miner_00,Miner_00,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_01,Miner_01,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_02,Miner_02,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_03,Miner_03,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_04,Miner_04,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_05,Miner_05,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_06,Miner_06,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_07,Miner_07,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_08,Miner_08,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_09,Miner_09,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_10,Miner_10,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_11,Miner_11,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_12,Miner_12,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_13,Miner_13,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_14,Miner_14,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_15,Miner_15,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_16,Miner_16,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_17,Miner_17,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_18,Miner_18,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
Miner_19,Miner_19,1.600000023841858,2.0,3000.0,2000.0,1.399999976158142,True,
보석 미믹,Mimic_Currency,0.0,0.0,3000.0,0.0,1.0,True,Monster.Name.MimicCurrency
무기 미믹,Mimic_Sword,0.0,0.0,3000.0,0.0,1.0,True,Monster.Name.MimicSword
방패 미믹,Mimic_Shield,0.0,0.0,3000.0,0.0,1.0,True,Monster.Name.MimicShield
AngelPig,AngelPig,1.600000023841858,2.0,700.0,2000.0,1.399999976158142,True,
AngelCow,AngelCow,1.600000023841858,2.0,700.0,2000.0,1.399999976158142,True,
DevilPig,DevilPig,1.600000023841858,2.0,700.0,2000.0,1.399999976158142,True,
DevilCow,DevilCow,1.600000023841858,2.0,700.0,2000.0,1.399999976158142,True,
