name,Level,CostMultiplier
TBL_ROYAL_FORCE_LEVEL0,100,2.0
TBL_ROYAL_FORCE_LEVEL1,150,2.5
TBL_ROYAL_FORCE_LEVEL2,200,3.0
TBL_ROYAL_FORCE_LEVEL3,220,3.5
TBL_ROYAL_FORCE_LEVEL4,240,4.0
TBL_ROYAL_FORCE_LEVEL5,260,4.5
TBL_ROYAL_FORCE_LEVEL6,280,5.0
TBL_ROYAL_FORCE_LEVEL7,300,5.5
TBL_ROYAL_FORCE_LEVEL8,320,6.0
TBL_ROYAL_FORCE_LEVEL9,340,7.0
TBL_ROYAL_FORCE_LEVEL10,360,8.0
TBL_ROYAL_FORCE_LEVEL11,380,9.0
TBL_ROYAL_FORCE_LEVEL12,400,10.0
TBL_ROYAL_FORCE_LEVEL13,410,12.0
TBL_ROYAL_FORCE_LEVEL14,420,16.0
TBL_ROYAL_FORCE_LEVEL15,430,32.0
TBL_ROYAL_FORCE_LEVEL16,440,48.0
TBL_ROYAL_FORCE_LEVEL17,450,64.0
