name,StatType,Value,ValueAdd,DefaultLevel,MaxLevel,CostMultipler,PrevGrowth,PrevGrowthNeedLevel,GrowthLevels,IsPercentPostfix,NameText
공격력,Damage,100.0,100.0,0,150000,1.0,,0,GROWTH_DAMAGE_01|GROWTH_DAMAGE_02|GROWTH_DAMAGE_03|GROWTH_DAMAGE_04|GROWTH_DAMAGE_05|GROWTH_DAMAGE_06|GROWTH_DAMAGE_07|GROWTH_DAMAGE_08|GROWTH_DAMAGE_09|GROWTH_DAMAGE_10|GROWTH_DAMAGE_11|GROWTH_DAMAGE_12|GROWTH_DAMAGE_13|GROWTH_DAMAGE_14|GROWTH_DAMAGE_15|GROWTH_DAMAGE_16|GROWTH_DAMAGE_17|GROWTH_DAMAGE_18|GROWTH_DAMAGE_19|GROWTH_DAMAGE_20|GROWTH_DAMAGE_21|GROWTH_DAMAGE_22|GROWTH_DAMAGE_23|GROWTH_DAMAGE_24|GROWTH_DAMAGE_25|GROWTH_DAMAGE_26|GROWTH_DAMAGE_27|GROWTH_DAMAGE_28|GROWTH_DAMAGE_29|GROWTH_DAMAGE_30|GROWTH_DAMAGE_31|GROWTH_DAMAGE_32|GROWTH_DAMAGE_33|GROWTH_DAMAGE_34|GROWTH_DAMAGE_35|GROWTH_DAMAGE_36|GROWTH_DAMAGE_37|GROWTH_DAMAGE_38|GROWTH_DAMAGE_39|GROWTH_DAMAGE_40|GROWTH_DAMAGE_41|GROWTH_DAMAGE_42|GROWTH_DAMAGE_43|GROWTH_DAMAGE_44|GROWTH_DAMAGE_45|GROWTH_DAMAGE_46|GROWTH_DAMAGE_47|GROWTH_DAMAGE_48|GROWTH_DAMAGE_49|GROWTH_DAMAGE_50|GROWTH_DAMAGE_51|GROWTH_DAMAGE_52|GROWTH_DAMAGE_53|GROWTH_DAMAGE_54|GROWTH_DAMAGE_55|GROWTH_DAMAGE_56|GROWTH_DAMAGE_57|GROWTH_DAMAGE_58|GROWTH_DAMAGE_59|GROWTH_DAMAGE_60|GROWTH_DAMAGE_61|GROWTH_DAMAGE_62|GROWTH_DAMAGE_63|GROWTH_DAMAGE_64|GROWTH_DAMAGE_65,False,Royal.Growth.Name.00
체력,Health,100.0,100.0,0,150000,1.0,,0,GROWTH_HEALTH_01|GROWTH_HEALTH_02|GROWTH_HEALTH_03|GROWTH_HEALTH_04|GROWTH_HEALTH_05|GROWTH_HEALTH_06|GROWTH_HEALTH_07|GROWTH_HEALTH_08|GROWTH_HEALTH_09|GROWTH_HEALTH_10|GROWTH_HEALTH_11|GROWTH_HEALTH_12|GROWTH_HEALTH_13|GROWTH_HEALTH_14|GROWTH_HEALTH_15|GROWTH_HEALTH_16|GROWTH_HEALTH_17|GROWTH_HEALTH_18|GROWTH_HEALTH_19|GROWTH_HEALTH_20|GROWTH_HEALTH_21|GROWTH_HEALTH_22|GROWTH_HEALTH_23|GROWTH_HEALTH_24|GROWTH_HEALTH_25|GROWTH_HEALTH_26|GROWTH_HEALTH_27|GROWTH_HEALTH_28|GROWTH_HEALTH_29|GROWTH_HEALTH_30|GROWTH_HEALTH_31|GROWTH_HEALTH_32|GROWTH_HEALTH_33|GROWTH_HEALTH_34|GROWTH_HEALTH_35|GROWTH_HEALTH_36|GROWTH_HEALTH_37|GROWTH_HEALTH_38|GROWTH_HEALTH_39|GROWTH_HEALTH_40|GROWTH_HEALTH_41|GROWTH_HEALTH_42|GROWTH_HEALTH_43|GROWTH_HEALTH_44|GROWTH_HEALTH_45|GROWTH_HEALTH_46|GROWTH_HEALTH_47|GROWTH_HEALTH_48|GROWTH_HEALTH_49|GROWTH_HEALTH_50|GROWTH_HEALTH_51|GROWTH_HEALTH_52|GROWTH_HEALTH_53|GROWTH_HEALTH_54|GROWTH_HEALTH_55|GROWTH_HEALTH_56|GROWTH_HEALTH_57|GROWTH_HEALTH_58|GROWTH_HEALTH_59|GROWTH_HEALTH_60|GROWTH_HEALTH_61|GROWTH_HEALTH_62|GROWTH_HEALTH_63|GROWTH_HEALTH_64|GROWTH_HEALTH_65,False,Royal.Growth.Name.01
체력 회복,HealthRecovery,100.0,100.0,0,150000,1.0,,0,GROWTH_HEALTH_RECOVERY_01|GROWTH_HEALTH_RECOVERY_02|GROWTH_HEALTH_RECOVERY_03|GROWTH_HEALTH_RECOVERY_04|GROWTH_HEALTH_RECOVERY_05|GROWTH_HEALTH_RECOVERY_06|GROWTH_HEALTH_RECOVERY_07|GROWTH_HEALTH_RECOVERY_08|GROWTH_HEALTH_RECOVERY_09|GROWTH_HEALTH_RECOVERY_10|GROWTH_HEALTH_RECOVERY_11|GROWTH_HEALTH_RECOVERY_12|GROWTH_HEALTH_RECOVERY_13|GROWTH_HEALTH_RECOVERY_14|GROWTH_HEALTH_RECOVERY_15|GROWTH_HEALTH_RECOVERY_16|GROWTH_HEALTH_RECOVERY_17|GROWTH_HEALTH_RECOVERY_18|GROWTH_HEALTH_RECOVERY_19|GROWTH_HEALTH_RECOVERY_20|GROWTH_HEALTH_RECOVERY_21|GROWTH_HEALTH_RECOVERY_22|GROWTH_HEALTH_RECOVERY_23|GROWTH_HEALTH_RECOVERY_24|GROWTH_HEALTH_RECOVERY_25|GROWTH_HEALTH_RECOVERY_26|GROWTH_HEALTH_RECOVERY_27|GROWTH_HEALTH_RECOVERY_28|GROWTH_HEALTH_RECOVERY_29|GROWTH_HEALTH_RECOVERY_30|GROWTH_HEALTH_RECOVERY_31|GROWTH_HEALTH_RECOVERY_32|GROWTH_HEALTH_RECOVERY_33|GROWTH_HEALTH_RECOVERY_34|GROWTH_HEALTH_RECOVERY_35|GROWTH_HEALTH_RECOVERY_36|GROWTH_HEALTH_RECOVERY_37|GROWTH_HEALTH_RECOVERY_38|GROWTH_HEALTH_RECOVERY_39|GROWTH_HEALTH_RECOVERY_40|GROWTH_HEALTH_RECOVERY_41|GROWTH_HEALTH_RECOVERY_42|GROWTH_HEALTH_RECOVERY_43|GROWTH_HEALTH_RECOVERY_44,False,Royal.Growth.Name.02
치명타율,CriticalChance1,0.0,0.2,0,500,100.0,,0,,True,Royal.Growth.Name.03
치명타 공격력,CriticalDamageRate1,200.0,0.8,0,500,1000.0,,0,,True,Royal.Growth.Name.04
슈퍼 치명타율,CriticalChance2,0.0,0.1,0,1000,10000.0,치명타율,500,,True,Royal.Growth.Name.05
슈퍼 치명타 공격력,CriticalDamageRate2,600.0,0.8,0,1000,100000.0,치명타 공격력,500,,True,Royal.Growth.Name.06
울트라 치명타율,CriticalChance3,0.0,0.1,0,1000,50000000.0,슈퍼 치명타율,1000,,True,Royal.Growth.Name.07
울트라 치명타 공격력,CriticalDamageRate3,1400.0,0.8,0,1000,500000000.0,슈퍼 치명타 공격력,1000,,True,Royal.Growth.Name.08
캡숑 치명타율,CriticalChance4,0.0,0.1,0,1000,7000000000.0,울트라 치명타율,1000,,True,Royal.Growth.Name.09
