name,Level,AddValue,CostMultiplier
GROWTH_DAMAGE_01,200,1.0,1.0
GROWTH_DAMAGE_02,500,2.0,2.0
GROWTH_DAMAGE_03,1000,4.0,4.0
GROWTH_DAMAGE_04,2000,8.0,8.0
GROWTH_DAMAGE_05,3200,16.0,16.0
GROWTH_DAMAGE_06,6400,32.0,32.0
GROWTH_DAMAGE_07,12800,64.0,64.0
GROWTH_DAMAGE_08,25600,128.0,128.0
GROWTH_DAMAGE_09,38400,256.0,256.0
GROWTH_DAMAGE_10,40000,384.0,384.0
GROWTH_DAMAGE_11,42500,400.0,500.0
GROWTH_DAMAGE_12,45000,425.0,600.0
GROWTH_DAMAGE_13,47500,450.0,700.0
GROWTH_DAMAGE_14,50000,475.0,800.0
GROWTH_DAMAGE_15,51000,500.0,900.0
GROWTH_DAMAGE_16,52000,525.0,1000.0
GROWTH_DAMAGE_17,53000,550.0,2000.0
GROWTH_DAMAGE_18,54000,575.0,3000.0
GROWTH_DAMAGE_19,55000,600.0,4000.0
GROWTH_DAMAGE_20,56000,625.0,5000.0
GROWTH_DAMAGE_21,57000,650.0,6000.0
GROWTH_DAMAGE_22,58000,675.0,7000.0
GROWTH_DAMAGE_23,59000,700.0,8000.0
GROWTH_DAMAGE_24,60000,725.0,9000.0
GROWTH_DAMAGE_25,61000,750.0,10000.0
GROWTH_DAMAGE_26,62000,775.0,11000.0
GROWTH_DAMAGE_27,63000,800.0,12000.0
GROWTH_DAMAGE_28,64000,825.0,13000.0
GROWTH_DAMAGE_29,65000,850.0,14000.0
GROWTH_DAMAGE_30,66000,875.0,15000.0
GROWTH_DAMAGE_31,67000,900.0,16000.0
GROWTH_DAMAGE_32,68000,925.0,17000.0
GROWTH_DAMAGE_33,69000,950.0,18000.0
GROWTH_DAMAGE_34,70000,1000.0,19000.0
GROWTH_DAMAGE_35,71000,1050.0,20000.0
GROWTH_DAMAGE_36,72000,1100.0,21000.0
GROWTH_DAMAGE_37,73000,1150.0,22000.0
GROWTH_DAMAGE_38,74000,1200.0,23000.0
GROWTH_DAMAGE_39,75000,1250.0,24000.0
GROWTH_DAMAGE_40,76000,1300.0,25000.0
GROWTH_DAMAGE_41,77000,1350.0,26000.0
GROWTH_DAMAGE_42,78000,1400.0,27000.0
GROWTH_DAMAGE_43,79000,1450.0,28000.0
GROWTH_DAMAGE_44,80000,1500.0,29000.0
GROWTH_DAMAGE_45,90000,1500.0,35000.0
GROWTH_DAMAGE_46,100000,1500.0,50000.0
GROWTH_DAMAGE_47,102500,1500.0,200000.0
GROWTH_DAMAGE_48,105000,1500.0,360000.0
GROWTH_DAMAGE_49,107500,1500.0,648000.0
GROWTH_DAMAGE_50,110000,1500.0,1166400.0
GROWTH_DAMAGE_51,112500,1500.0,2099520.0
GROWTH_DAMAGE_52,115000,1500.0,3779136.0
GROWTH_DAMAGE_53,117500,1500.0,6802444.0
GROWTH_DAMAGE_54,120000,1500.0,12244399.0
GROWTH_DAMAGE_55,122500,15000.0,22039918.0
GROWTH_DAMAGE_56,125000,15000.0,39671852.0
GROWTH_DAMAGE_57,127500,15000.0,71409333.0
GROWTH_DAMAGE_58,130000,15000.0,128536799.0
GROWTH_DAMAGE_59,132500,15000.0,231366238.0
GROWTH_DAMAGE_60,135000,15000.0,416459228.0
GROWTH_DAMAGE_61,137500,15000.0,749626610.0
GROWTH_DAMAGE_62,140000,15000.0,1349327898.0
GROWTH_DAMAGE_63,142500,15000.0,2428790216.0
GROWTH_DAMAGE_64,145000,15000.0,4371822388.0
GROWTH_DAMAGE_65,147500,15000.0,472236217000000.0
GROWTH_HEALTH_01,200,10.0,1.0
GROWTH_HEALTH_02,500,20.0,2.0
GROWTH_HEALTH_03,1000,40.0,4.0
GROWTH_HEALTH_04,2000,80.0,8.0
