name,NeexExp
TBL_CHARACTER_LEVEL_0001,100.0
TBL_CHARACTER_LEVEL_0002,200.0
TBL_CHARACTER_LEVEL_0003,330.0
TBL_CHARACTER_LEVEL_0004,500.0
TBL_CHARACTER_LEVEL_0005,800.0
TBL_CHARACTER_LEVEL_0006,960.0
TBL_CHARACTER_LEVEL_0007,1600.0
TBL_CHARACTER_LEVEL_0008,4000.0
TBL_CHARACTER_LEVEL_0009,8000.0
TBL_CHARACTER_LEVEL_0010,12000.0
TBL_CHARACTER_LEVEL_0011,16000.0
TBL_CHARACTER_LEVEL_0012,36080.0
TBL_CHARACTER_LEVEL_0013,48560.0
TBL_CHARACTER_LEVEL_0014,63880.0
TBL_CHARACTER_LEVEL_0015,82440.0
TBL_CHARACTER_LEVEL_0016,104640.0
TBL_CHARACTER_LEVEL_0017,130880.0
TBL_CHARACTER_LEVEL_0018,161560.0
TBL_CHARACTER_LEVEL_0019,197080.0
TBL_CHARACTER_LEVEL_0020,238240.0
TBL_CHARACTER_LEVEL_0021,285840.0
TBL_CHARACTER_LEVEL_0022,340680.0
TBL_CHARACTER_LEVEL_0023,403560.0
TBL_CHARACTER_LEVEL_0024,475680.0
TBL_CHARACTER_LEVEL_0025,558240.0
TBL_CHARACTER_LEVEL_0026,652440.0
TBL_CHARACTER_LEVEL_0027,759880.0
TBL_CHARACTER_LEVEL_0028,882160.0
TBL_CHARACTER_LEVEL_0029,1020880.0
TBL_CHARACTER_LEVEL_0030,1177640.0
TBL_CHARACTER_LEVEL_0031,1354440.0
TBL_CHARACTER_LEVEL_0032,1553280.0
TBL_CHARACTER_LEVEL_0033,1776160.0
TBL_CHARACTER_LEVEL_0034,2025480.0
TBL_CHARACTER_LEVEL_0035,2304440.0
TBL_CHARACTER_LEVEL_0036,2616240.0
TBL_CHARACTER_LEVEL_0037,2964080.0
TBL_CHARACTER_LEVEL_0038,3351960.0
TBL_CHARACTER_LEVEL_0039,3783880.0
TBL_CHARACTER_LEVEL_0040,4263840.0
TBL_CHARACTER_LEVEL_0041,4795840.0
TBL_CHARACTER_LEVEL_0042,5383880.0
TBL_CHARACTER_LEVEL_0043,6033560.0
TBL_CHARACTER_LEVEL_0044,6750480.0
TBL_CHARACTER_LEVEL_0045,7540240.0
TBL_CHARACTER_LEVEL_0046,8408440.0
TBL_CHARACTER_LEVEL_0047,9363080.0
TBL_CHARACTER_LEVEL_0048,10412160.0
TBL_CHARACTER_LEVEL_0049,11563680.0
TBL_CHARACTER_LEVEL_0050,12825640.0
TBL_CHARACTER_LEVEL_0051,14210040.0
TBL_CHARACTER_LEVEL_0052,14155992.0
TBL_CHARACTER_LEVEL_0053,15654744.0
TBL_CHARACTER_LEVEL_0054,17296092.0
TBL_CHARACTER_LEVEL_0055,19094436.0
TBL_CHARACTER_LEVEL_0056,21064176.0
TBL_CHARACTER_LEVEL_0057,23219712.0
TBL_CHARACTER_LEVEL_0058,25575444.0
TBL_CHARACTER_LEVEL_0059,28152972.0
TBL_CHARACTER_LEVEL_0060,30973896.0
TBL_CHARACTER_LEVEL_0061,34059816.0
TBL_CHARACTER_LEVEL_0062,37432332.0
TBL_CHARACTER_LEVEL_0063,41127444.0
TBL_CHARACTER_LEVEL_0064,45181152.0
TBL_CHARACTER_LEVEL_0065,49629456.0
TBL_CHARACTER_LEVEL_0066,54508356.0
TBL_CHARACTER_LEVEL_0067,59889852.0
TBL_CHARACTER_LEVEL_0068,65845944.0
TBL_CHARACTER_LEVEL_0069,72448632.0
TBL_CHARACTER_LEVEL_0070,79805916.0
TBL_CHARACTER_LEVEL_0071,88025796.0
TBL_CHARACTER_LEVEL_0072,97216272.0
TBL_CHARACTER_LEVEL_0073,107485344.0
TBL_CHARACTER_LEVEL_0074,118977012.0
TBL_CHARACTER_LEVEL_0075,132051276.0
TBL_CHARACTER_LEVEL_0076,147068136.0
TBL_CHARACTER_LEVEL_0077,164387592.0
TBL_CHARACTER_LEVEL_0078,184369644.0
TBL_CHARACTER_LEVEL_0079,207374292.0
TBL_CHARACTER_LEVEL_0080,234121536.0
TBL_CHARACTER_LEVEL_0081,265331376.0
TBL_CHARACTER_LEVEL_0082,301723812.0
TBL_CHARACTER_LEVEL_0083,344738844.0
TBL_CHARACTER_LEVEL_0084,395816472.0
TBL_CHARACTER_LEVEL_0085,456396696.0
TBL_CHARACTER_LEVEL_0086,527919516.0
TBL_CHARACTER_LEVEL_0087,612544932.0
TBL_CHARACTER_LEVEL_0088,712432944.0
TBL_CHARACTER_LEVEL_0089,829743552.0
TBL_CHARACTER_LEVEL_0090,968076756.0
TBL_CHARACTER_LEVEL_0091,1131032556.0
TBL_CHARACTER_LEVEL_0092,1322210952.0
TBL_CHARACTER_LEVEL_0093,1545211944.0
TBL_CHARACTER_LEVEL_0094,1807235532.0
TBL_CHARACTER_LEVEL_0095,2115481716.0
TBL_CHARACTER_LEVEL_0096,2477150496.0
TBL_CHARACTER_LEVEL_0097,2903041872.0
TBL_CHARACTER_LEVEL_0098,3403955844.0
TBL_CHARACTER_LEVEL_0099,3990692412.0
TBL_CHARACTER_LEVEL_0100,5197390640.0
TBL_CHARACTER_LEVEL_0101,6088037040.0
TBL_CHARACTER_LEVEL_0102,7122041880.0
TBL_CHARACTER_LEVEL_0103,7483864644.0
TBL_CHARACTER_LEVEL_0104,8722914192.0
TBL_CHARACTER_LEVEL_0105,10148586336.0
TBL_CHARACTER_LEVEL_0106,11782481076.0
TBL_CHARACTER_LEVEL_0107,13660598412.0
TBL_CHARACTER_LEVEL_0108,15818938344.0
TBL_CHARACTER_LEVEL_0109,18293500872.0
TBL_CHARACTER_LEVEL_0110,21120285996.0
TBL_CHARACTER_LEVEL_0111,24349693716.0
TBL_CHARACTER_LEVEL_0112,28032124032.0
TBL_CHARACTER_LEVEL_0113,32217976944.0
TBL_CHARACTER_LEVEL_0114,36957652452.0
TBL_CHARACTER_LEVEL_0115,42301550556.0
TBL_CHARACTER_LEVEL_0116,48321671256.0
TBL_CHARACTER_LEVEL_0117,55090014552.0
TBL_CHARACTER_LEVEL_0118,62678580444.0
TBL_CHARACTER_LEVEL_0119,71159368932.0
TBL_CHARACTER_LEVEL_0120,80604380016.0
TBL_CHARACTER_LEVEL_0121,91085613696.0
TBL_CHARACTER_LEVEL_0122,102675069972.0
TBL_CHARACTER_LEVEL_0123,115459148844.0
TBL_CHARACTER_LEVEL_0124,129524250312.0
TBL_CHARACTER_LEVEL_0125,144956774376.0
TBL_CHARACTER_LEVEL_0126,161843121036.0
TBL_CHARACTER_LEVEL_0127,180269690292.0
TBL_CHARACTER_LEVEL_0128,200322882144.0
TBL_CHARACTER_LEVEL_0129,222089096592.0
TBL_CHARACTER_LEVEL_0130,245654733636.0
TBL_CHARACTER_LEVEL_0131,271127793276.0
TBL_CHARACTER_LEVEL_0132,298616275512.0
TBL_CHARACTER_LEVEL_0133,328228180344.0
TBL_CHARACTER_LEVEL_0134,360071507772.0
TBL_CHARACTER_LEVEL_0135,394254257796.0
TBL_CHARACTER_LEVEL_0136,430884430416.0
TBL_CHARACTER_LEVEL_0137,470070025632.0
TBL_CHARACTER_LEVEL_0138,511919043444.0
TBL_CHARACTER_LEVEL_0139,556539483852.0
TBL_CHARACTER_LEVEL_0140,604039346856.0
TBL_CHARACTER_LEVEL_0141,654526632456.0
TBL_CHARACTER_LEVEL_0142,708109340652.0
TBL_CHARACTER_LEVEL_0143,764895471444.0
TBL_CHARACTER_LEVEL_0144,824993024832.0
TBL_CHARACTER_LEVEL_0145,888510000816.0
TBL_CHARACTER_LEVEL_0146,955554399396.0
TBL_CHARACTER_LEVEL_0147,1026234220572.0
TBL_CHARACTER_LEVEL_0148,1100657464344.0
TBL_CHARACTER_LEVEL_0149,1178932130712.0
TBL_CHARACTER_LEVEL_0150,1261166219676.0
TBL_CHARACTER_LEVEL_0151,1347467731236.0
TBL_CHARACTER_LEVEL_0152,1437980665392.0
TBL_CHARACTER_LEVEL_0153,1532849022144.0
TBL_CHARACTER_LEVEL_0154,1632216801492.0
TBL_CHARACTER_LEVEL_0155,1736228003436.0
TBL_CHARACTER_LEVEL_0156,1845026627976.0
TBL_CHARACTER_LEVEL_0157,1958756675112.0
TBL_CHARACTER_LEVEL_0158,2077562144844.0
TBL_CHARACTER_LEVEL_0159,2201587037172.0
TBL_CHARACTER_LEVEL_0160,2330975352096.0
TBL_CHARACTER_LEVEL_0161,2465871089616.0
TBL_CHARACTER_LEVEL_0162,2606418249732.0
TBL_CHARACTER_LEVEL_0163,2752760832444.0
TBL_CHARACTER_LEVEL_0164,2905078837752.0
TBL_CHARACTER_LEVEL_0165,3063552265656.0
TBL_CHARACTER_LEVEL_0166,3228361116156.0
TBL_CHARACTER_LEVEL_0167,3399685389252.0
TBL_CHARACTER_LEVEL_0168,3577705084944.0
TBL_CHARACTER_LEVEL_0169,3762600203232.0
TBL_CHARACTER_LEVEL_0170,3954550744116.0
TBL_CHARACTER_LEVEL_0171,4153772707596.0
TBL_CHARACTER_LEVEL_0172,4360482093672.0
TBL_CHARACTER_LEVEL_0173,4574894902344.0
TBL_CHARACTER_LEVEL_0174,4797227133612.0
TBL_CHARACTER_LEVEL_0175,5027694787476.0
TBL_CHARACTER_LEVEL_0176,5266513863936.0
TBL_CHARACTER_LEVEL_0177,5513900362992.0
TBL_CHARACTER_LEVEL_0178,5770070284644.0
TBL_CHARACTER_LEVEL_0179,6035239628892.0
TBL_CHARACTER_LEVEL_0180,6309624395736.0
TBL_CHARACTER_LEVEL_0181,6593224585176.0
TBL_CHARACTER_LEVEL_0182,6886040197212.0
TBL_CHARACTER_LEVEL_0183,7188071231844.0
TBL_CHARACTER_LEVEL_0184,7499317689072.0
TBL_CHARACTER_LEVEL_0185,7819779568896.0
TBL_CHARACTER_LEVEL_0186,8149456871316.0
TBL_CHARACTER_LEVEL_0187,8488349596332.0
TBL_CHARACTER_LEVEL_0188,8836457743944.0
TBL_CHARACTER_LEVEL_0189,9193781314152.0
TBL_CHARACTER_LEVEL_0190,9560735000972.64
TBL_CHARACTER_LEVEL_0191,9937318804405.92
TBL_CHARACTER_LEVEL_0192,10323532724451.8
TBL_CHARACTER_LEVEL_0193,10719376761110.4
TBL_CHARACTER_LEVEL_0194,11124850914381.6
TBL_CHARACTER_LEVEL_0195,11539955184265.4
TBL_CHARACTER_LEVEL_0196,11964689570761.9
TBL_CHARACTER_LEVEL_0197,12399054073871.0
TBL_CHARACTER_LEVEL_0198,12843048693592.8
TBL_CHARACTER_LEVEL_0199,13296673429927.2
TBL_CHARACTER_LEVEL_0200,13760409788704.8
TBL_CHARACTER_LEVEL_0201,15815841966584.0
TBL_CHARACTER_LEVEL_0202,16353574859544.0
TBL_CHARACTER_LEVEL_0203,16902542888552.0
TBL_CHARACTER_LEVEL_0204,17462746053608.0
TBL_CHARACTER_LEVEL_0205,18034184354712.0
TBL_CHARACTER_LEVEL_0206,18616857791864.0
TBL_CHARACTER_LEVEL_0207,19210766365064.0
TBL_CHARACTER_LEVEL_0208,19815910074312.0
TBL_CHARACTER_LEVEL_0209,20432288919608.0
TBL_CHARACTER_LEVEL_0210,21060464657754.4
TBL_CHARACTER_LEVEL_0211,21700437288751.2
TBL_CHARACTER_LEVEL_0212,22352206812598.4
TBL_CHARACTER_LEVEL_0213,23015773229296.0
TBL_CHARACTER_LEVEL_0214,23691136538844.0
TBL_CHARACTER_LEVEL_0215,24378296741242.4
TBL_CHARACTER_LEVEL_0216,25077253836491.2
TBL_CHARACTER_LEVEL_0217,25788007824590.4
TBL_CHARACTER_LEVEL_0218,26510558705540.0
TBL_CHARACTER_LEVEL_0219,27244906479340.0
TBL_CHARACTER_LEVEL_0220,27992230835276.0
TBL_CHARACTER_LEVEL_0221,28752531773348.0
TBL_CHARACTER_LEVEL_0222,29525809293556.0
TBL_CHARACTER_LEVEL_0223,30312063395900.0
TBL_CHARACTER_LEVEL_0224,31111294080380.0
TBL_CHARACTER_LEVEL_0225,31923501346996.0
TBL_CHARACTER_LEVEL_0226,32748685195748.0
TBL_CHARACTER_LEVEL_0227,33586845626636.0
TBL_CHARACTER_LEVEL_0228,34437982639660.0
TBL_CHARACTER_LEVEL_0229,35302096234820.0
TBL_CHARACTER_LEVEL_0230,36181781728543.2
TBL_CHARACTER_LEVEL_0231,37077039120829.6
TBL_CHARACTER_LEVEL_0232,37987868411679.2
TBL_CHARACTER_LEVEL_0233,38914269601092.0
TBL_CHARACTER_LEVEL_0234,39856242689068.0
TBL_CHARACTER_LEVEL_0235,40813787675607.2
TBL_CHARACTER_LEVEL_0236,41786904560709.6
TBL_CHARACTER_LEVEL_0237,42775593344375.2
TBL_CHARACTER_LEVEL_0238,43779854026604.0
TBL_CHARACTER_LEVEL_0239,44799686607396.0
TBL_CHARACTER_LEVEL_0240,45838205466463.2
TBL_CHARACTER_LEVEL_0241,46895410603805.6
TBL_CHARACTER_LEVEL_0242,47971302019423.2
TBL_CHARACTER_LEVEL_0243,49065879713316.0
TBL_CHARACTER_LEVEL_0244,50179143685484.0
TBL_CHARACTER_LEVEL_0245,51311093935927.2
TBL_CHARACTER_LEVEL_0246,52461730464645.6
TBL_CHARACTER_LEVEL_0247,53631053271639.2
TBL_CHARACTER_LEVEL_0248,54819062356908.0
TBL_CHARACTER_LEVEL_0249,56025757720452.0
TBL_CHARACTER_LEVEL_0250,57256745245754.4
TBL_CHARACTER_LEVEL_0251,58512024932815.2
TBL_CHARACTER_LEVEL_0252,59791596781634.4
TBL_CHARACTER_LEVEL_0253,61095460792212.0
TBL_CHARACTER_LEVEL_0254,62423616964548.0
TBL_CHARACTER_LEVEL_0255,63776065298642.4
TBL_CHARACTER_LEVEL_0256,65152805794495.2
TBL_CHARACTER_LEVEL_0257,66553838452106.4
TBL_CHARACTER_LEVEL_0258,67979163271476.0
TBL_CHARACTER_LEVEL_0259,69428780252604.0
TBL_CHARACTER_LEVEL_0260,70907547827841.6
TBL_CHARACTER_LEVEL_0261,72415465997188.8
