name,RoyalMasteryType,StatType,Value,ValueAdd,MaxLevel,PrevMastery1,PrevNeedLevel1,PrevMastery2,PrevNeedLevel2,DescriptionText,LevelUpCost,NameText
공격력 강화 I,Battle,Damage,1000.0,1000.0,10,,0,,0,추가 공격력 {0}을 얻는다.,1.0,
스킬 강화 I,Battle,SkillDamageRate,10.0,10.0,10,공격력 강화 I,5,,0,추가 스킬 피해량 {0}%를 얻는다.,1.0,
체력 강화 I,Battle,Health,10000.0,10000.0,10,,0,,0,추가 체력 {0}을 얻는다.,1.0,
명중 강화 I,Battle,Acc,10.0,10.0,10,체력 강화 I,5,,0,추가 명중률 {0}을 얻는다.,1.0,
보스 강화 I,Battle,BossDamageRate,10.0,10.0,5,스킬 강화 I,5,명중 강화 I,5,추가 보스 피해량 {0}%를 얻는다.,1.0,
공격력 강화 II,Battle,Damage,5000.0,5000.0,10,보스 강화 I,5,,0,추가 공격력 {0}을 얻는다.,2.0,
스킬 강화 II,Battle,SkillDamageRate,30.0,30.0,10,공격력 강화 II,5,,0,추가 스킬 피해량 {0}%를 얻는다.,2.0,
체력 강화 II,Battle,Health,50000.0,50000.0,10,보스 강화 I,5,,0,추가 체력 {0}을 얻는다.,2.0,
명중 강화 II,Battle,Acc,20.0,20.0,10,체력 강화 II,5,,0,추가 명중률 {0}을 얻는다.,2.0,
보스 강화 II,Battle,BossDamageRate,20.0,20.0,5,스킬 강화 II,5,명중 강화 II,5,추가 보스 피해량 {0}%를 얻는다.,3.0,
공격력 강화 III,Battle,Damage,25000.0,25000.0,10,보스 강화 II,5,,0,추가 공격력 {0}을 얻는다.,4.0,
스킬 강화 III,Battle,SkillDamageRate,70.0,70.0,10,공격력 강화 III,5,,0,추가 스킬 피해량 {0}%를 얻는다.,4.0,
체력 강화 III,Battle,Health,250000.0,250000.0,10,보스 강화 II,5,,0,추가 체력 {0}을 얻는다.,4.0,
명중 강화 III,Battle,Acc,50.0,50.0,10,체력 강화 III,5,,0,추가 명중률 {0}을 얻는다.,4.0,
보스 강화 III,Battle,BossDamageRate,50.0,50.0,5,스킬 강화 III,5,명중 강화 III,5,추가 보스 피해량 {0}%를 얻는다.,5.0,
공격력 강화 IV,Battle,Damage,50000.0,50000.0,10,보스 강화 III,5,,0,추가 공격력 {0}을 얻는다.,6.0,
스킬 강화 IV,Battle,SkillDamageRate,120.0,120.0,10,공격력 강화 IV,5,,0,추가 스킬 피해량 {0}%를 얻는다.,6.0,
체력 강화 IV,Battle,Health,500000.0,500000.0,10,보스 강화 III,5,,0,추가 체력 {0}을 얻는다.,6.0,
명중 강화 IV,Battle,Acc,70.0,70.0,10,체력 강화 IV,5,,0,추가 명중률 {0}을 얻는다.,6.0,
보스 강화 IV,Battle,BossDamageRate,70.0,70.0,5,스킬 강화 IV,5,명중 강화 IV,5,추가 보스 피해량 {0}%를 얻는다.,7.0,
공격력 강화 V,Battle,Damage,1000000.0,1000000.0,10,보스 강화 IV,5,,0,추가 공격력 {0}을 얻는다.,8.0,
스킬 강화 V,Battle,SkillDamageRate,200.0,200.0,10,공격력 강화 V,5,,0,추가 스킬 피해량 {0}%를 얻는다.,8.0,
체력 강화 V,Battle,Health,10000000.0,10000000.0,10,보스 강화 IV,5,,0,추가 체력 {0}을 얻는다.,8.0,
명중 강화 V,Battle,Acc,100.0,100.0,10,체력 강화 V,5,,0,추가 명중률 {0}을 얻는다.,8.0,
보스 강화 V,Battle,BossDamageRate,100.0,100.0,5,스킬 강화 V,5,명중 강화 IV,5,추가 보스 피해량 {0}%를 얻는다.,10.0,
골드 보너스 I,Utile,StageGoldBonusRate,5.0,5.0,10,,0,,0,스테이지에서 골드 획득 시 {0}%를 추가로 획득한다.,1.0,
던전 골드 I,Utile,DungeonGoldBonusRate,10.0,10.0,10,골드 보너스 I,5,,0,던전에서 골드 획득 시 {0}%를 추가로 획득한다.,2.0,
골드 보너스 II,Utile,StageGoldBonusRate,15.0,15.0,10,던전 골드 I,5,,0,스테이지에서 골드 획득 시 {0}%를 추가로 획득한다.,3.0,
던전 골드 II,Utile,DungeonGoldBonusRate,20.0,20.0,10,골드 보너스 II,5,,0,던전에서 골드 획득 시 {0}%를 추가로 획득한다.,4.0,
골드 보너스 III,Utile,StageGoldBonusRate,25.0,25.0,10,던전 골드 II,5,,0,스테이지에서 골드 획득 시 {0}%를 추가로 획득한다.,5.0,
던전 골드 III,Utile,DungeonGoldBonusRate,30.0,30.0,10,골드 보너스 III,5,,0,던전에서 골드 획득 시 {0}%를 추가로 획득한다.,6.0,
골드 보너스 IV,Utile,StageGoldBonusRate,35.0,35.0,10,던전 골드 III,5,,0,스테이지에서 골드 획득 시 {0}%를 추가로 획득한다.,7.0,
던전 골드 IV,Utile,DungeonGoldBonusRate,40.0,40.0,10,골드 보너스 IV,5,,0,던전에서 골드 획득 시 {0}%를 추가로 획득한다.,8.0,
골드 보너스 V,Utile,StageGoldBonusRate,45.0,45.0,10,던전 골드 IV,5,,0,스테이지에서 골드 획득 시 {0}%를 추가로 획득한다.,9.0,
던전 골드 V,Utile,DungeonGoldBonusRate,50.0,50.0,10,골드 보너스 V,5,,0,던전에서 골드 획득 시 {0}%를 추가로 획득한다.,10.0,
젤리 보너스 I,Utile,StageJellyBonusRate,5.0,5.0,10,,5,,0,스테이지에서 젤리 획득 시 {0}%를 추가로 획득한다.,1.0,
던전 젤리 I,Utile,DungeonJellyBonusRate,10.0,10.0,10,젤리 보너스 I,5,,0,던전에서 젤리 획득 시 {0}%를 추가로 획득한다.,2.0,
