name,Number,IconIndex,RoyalMasteryType,Order,StatType,Value,ValueAdd,MaxLevel,LevelUpCost,NameText,DescriptionText
공격 강화 I,1,0,Battle,0,Damage,500.0,500.0,10,1,Royal.Mastery.Battle.Name.Damage,Royal.Mastery.Battle.Description.Damage
스킬 강화 I,1,1,Battle,0,SkillDamageRate,5.0,5.0,10,1,Royal.Mastery.Battle.Name.SkillDamageRate,Royal.Mastery.Battle.Description.SkillDamageRate
체력 강화 I,1,2,Battle,0,Health,5000.0,5000.0,10,1,Royal.Mastery.Battle.Name.Health,Royal.Mastery.Battle.Description.Health
명중 강화 I,1,3,Battle,1,Acc,5.0,5.0,5,1,Royal.Mastery.Battle.Name.Acc,Royal.Mastery.Battle.Description.Acc
Empty,0,0,Battle,1,Empty,0.0,0.0,0,1,,
회피 강화 I,1,4,Battle,1,Dodge,5.0,5.0,5,1,Royal.Mastery.Battle.Name.Dodge,Royal.Mastery.Battle.Description.Dodge
Empty,0,0,Battle,2,Empty,0.0,0.0,0,1,,
보스 강화 I,1,5,Battle,2,BossDamageRate,5.0,5.0,10,1,Royal.Mastery.Battle.Name.BossDamageRate,Royal.Mastery.Battle.Description.BossDamageRate
Empty,0,0,Battle,2,Empty,0.0,0.0,0,1,,
공격 강화 II,2,6,Battle,3,Damage,5000.0,5000.0,10,2,Royal.Mastery.Battle.Name.Damage,Royal.Mastery.Battle.Description.Damage
스킬 강화 II,2,7,Battle,3,SkillDamageRate,30.0,30.0,10,2,Royal.Mastery.Battle.Name.SkillDamageRate,Royal.Mastery.Battle.Description.SkillDamageRate
체력 강화 II,2,8,Battle,3,Health,50000.0,50000.0,10,2,Royal.Mastery.Battle.Name.Health,Royal.Mastery.Battle.Description.Health
명중 강화 II,2,9,Battle,4,Acc,20.0,20.0,5,2,Royal.Mastery.Battle.Name.Acc,Royal.Mastery.Battle.Description.Acc
Empty,0,0,Battle,4,Empty,0.0,0.0,0,2,,
회피 강화 II,2,10,Battle,4,Dodge,20.0,20.0,5,2,Royal.Mastery.Battle.Name.Dodge,Royal.Mastery.Battle.Description.Dodge
Empty,0,0,Battle,5,Empty,0.0,0.0,0,2,,
