name,MasteryType,Order,NeedCount
TBL_ROYAL_MASTERY_LEVEL0,Battle,0,10
TBL_ROYAL_MASTERY_LEVEL1,Battle,1,5
TBL_ROYAL_MASTERY_LEVEL2,Battle,2,5
TBL_ROYAL_MASTERY_LEVEL3,Battle,3,10
TBL_ROYAL_MASTERY_LEVEL4,Battle,4,5
TBL_ROYAL_MASTERY_LEVEL5,Battle,5,5
TBL_ROYAL_MASTERY_LEVEL6,Battle,6,10
TBL_ROYAL_MASTERY_LEVEL7,Battle,7,5
TBL_ROYAL_MASTERY_LEVEL8,Battle,8,5
TBL_ROYAL_MASTERY_LEVEL9,Battle,9,10
TBL_ROYAL_MASTERY_LEVEL10,Battle,10,5
TBL_ROYAL_MASTERY_LEVEL11,Battle,11,5
TBL_ROYAL_MASTERY_LEVEL12,Battle,12,10
TBL_ROYAL_MASTERY_LEVEL13,Battle,13,5
TBL_ROYAL_MASTERY_LEVEL14,Battle,14,5
TBL_ROYAL_MASTERY_LEVEL0,Bonus,0,5
TBL_ROYAL_MASTERY_LEVEL0,Bonus,1,5
TBL_ROYAL_MASTERY_LEVEL0,Bonus,2,5
TBL_ROYAL_MASTERY_LEVEL0,Bonus,3,5
TBL_ROYAL_MASTERY_LEVEL0,Bonus,4,5
TBL_ROYAL_MASTERY_LEVEL0,Bonus,5,5
TBL_ROYAL_MASTERY_LEVEL0,Bonus,6,5
TBL_ROYAL_MASTERY_LEVEL0,Bonus,7,5
TBL_ROYAL_MASTERY_LEVEL0,Bonus,8,5
TBL_ROYAL_MASTERY_LEVEL0,Bonus,9,5
TBL_ROYAL_MASTERY_LEVEL15,Utile,0,7
TBL_ROYAL_MASTERY_LEVEL16,Utile,1,10
TBL_ROYAL_MASTERY_LEVEL17,Utile,2,7
TBL_ROYAL_MASTERY_LEVEL18,Utile,3,10
TBL_ROYAL_MASTERY_LEVEL19,Utile,4,7
TBL_ROYAL_MASTERY_LEVEL20,Utile,5,10
