frame,c0,c1,c2,c3,c4,c5,c6
,0,0,0,0,0,10,10
,1,-158,-321,0,0,10,10
,2,-127,-321,0,0,10,10
,2,0,-321,0,0,10,10
,3,127,-321,0,0,10,10
,61,-59,-143,0,6,10,10
,225,-133,-284,0,0,10,10
,225,29,-284,0,0,10,10
,1,-158,-321,0,0,10,10
,2,-127,-321,0,0,10,10
,2,0,-321,0,0,10,10
,3,127,-321,0,0,10,10
,309,-59,-143,0,6,10,10
,55,-141,-289,0,0,10,10
,60,46,32,0,0,10,10
,56,74,-320,0,0,10,10
,77,64,-4,0,0,10,10
,1,-158,-321,0,0,10,10
,2,-127,-321,0,0,10,10
,2,0,-321,0,0,10,10
,3,127,-321,0,0,10,10
,61,-59,-143,0,0,10,10
,62,65,-119,0,0,10,10
,45,26,-312,0,0,10,10
,79,-142,-231,0,0,10,10
,73,150,-198,0,0,10,10
,49,-69,-82,0,0,10,10
,50,-69,-122,0,0,10,10
,51,-68,-45,0,0,10,10
,1,-158,-321,0,0,10,10
,2,-127,-321,0,0,10,10
,2,0,-321,0,0,10,10
,3,126,-321,0,0,10,10
,95,-103,-223,0,0,10,10
,85,-150,-288,0,0,10,10
,85,-151,-126,0,0,10,10
,86,-152,13,0,0,10,10
,86,-33,13,0,0,10,10
,307,-59,-143,0,6,10,10
,85,128,-146,0,0,10,10
,85,129,-306,0,0,10,10
,102,-158,-320,0,0,10,10
,105,-127,-320,0,0,10,10
,105,1,-320,0,0,10,10
,104,114,-320,0,0,10,10
,94,-92,-210,0,0,10,10
,1,-221,-321,0,0,10,10
,2,-64,-321,0,0,10,10
,2,-190,-321,0,0,10,10
,2,62,-321,0,0,10,10
,3,188,-321,0,0,10,10
,151,-202,-156,0,0,10,10
,198,-39,-56,0,0,10,10
,209,-94,-139,0,0,10,10
,200,-131,-134,0,0,10,10
,203,-191,-106,0,0,10,10
,205,-97,-76,0,0,10,10
,150,-202,-156,0,0,10,10
,212,-211,0,0,0,10,10
,61,70,-143,0,6,10,10
,93,-260,-155,0,0,10,10
,210,-40,-103,0,0,10,10
,44,-77,-322,0,0,10,10
,1,-221,-321,0,0,10,10
,2,-64,-321,0,0,10,10
,2,-190,-321,0,0,10,10
,2,62,-321,0,0,10,10
,3,188,-321,0,0,10,10
,151,-202,-156,0,0,10,10
,215,-79,-135,0,0,10,10
,214,-105,-131,0,0,10,10
,213,-58,-138,0,0,10,10
,224,-36,-138,0,0,10,10
,200,-131,-114,0,0,10,10
,199,-191,-57,0,0,10,10
,204,-116,-71,0,0,10,10
,284,-87,-77,0,0,10,10
,150,-202,-156,0,0,10,10
,61,68,-143,0,6,10,10
,105,-220,1,0,0,10,10
,105,-92,1,0,0,10,10
,103,36,1,0,0,10,10
,1,-221,-321,0,0,10,10
,2,-64,-321,0,0,10,10
,2,-190,-321,0,0,10,10
,2,62,-321,0,0,10,10
,3,188,-321,0,0,10,10
,151,-202,-156,0,0,10,10
,228,-80,-120,0,0,10,10
,223,-57,-108,0,0,10,10
,200,-131,-114,0,0,10,10
,149,-202,-156,0,0,10,10
,61,70,-143,0,6,10,10
,209,-191,-42,0,0,10,10
,285,35,-73,0,0,10,10
,1,-221,-321,0,0,10,10
,2,-64,-321,0,0,10,10
,2,-190,-321,0,0,10,10
,2,62,-321,0,0,10,10
,3,188,-321,0,0,10,10
,102,-220,1,0,0,10,10
,105,-188,1,0,0,10,10
,105,-60,1,0,0,10,10
,105,79,0,0,0,10,10
,102,-220,-30,0,0,10,10
,105,-188,-30,0,0,10,10
,105,-60,-30,0,0,10,10
,105,79,-30,0,0,10,10
,102,-220,-61,0,0,10,10
,105,-188,-61,0,0,10,10
,105,-60,-61,0,0,10,10
,105,79,-61,0,0,10,10
,309,25,-143,0,6,10,10
,52,-147,-250,0,0,10,10
,7,-158,-334,0,0,10,10
,8,-127,-334,0,0,10,10
,8,0,-334,0,0,10,10
,9,127,-334,0,0,10,10
,61,-59,-143,0,6,10,10
,225,-133,-284,0,0,10,10
,225,29,-284,0,0,10,10
,63,-136,-103,0,0,10,10
,7,-158,-334,0,0,10,10
,8,-127,-334,0,0,10,10
,8,0,-334,0,0,10,10
,9,127,-334,0,0,10,10
,57,-129,-334,0,0,10,10
,43,22,-333,0,0,10,10
,44,-26,-335,0,0,10,10
,80,-156,-70,0,0,10,10
,78,20,-159,0,0,10,10
,61,-79,-143,0,6,10,10
,65,69,-87,0,0,10,10
,7,-158,-334,0,0,10,10
,8,-127,-334,0,0,10,10
,8,0,-334,0,0,10,10
,9,127,-334,0,0,10,10
,105,-157,1,0,0,10,10
,105,-29,1,0,0,10,10
,104,115,1,0,0,10,10
,102,-157,-333,0,0,10,10
,105,-125,-333,0,0,10,10
,105,3,-333,0,0,10,10
,104,115,-333,0,0,10,10
,106,-167,-161,0,0,10,10
,61,28,-143,0,6,10,10
,106,-167,-260,0,0,10,10
,52,-113,-188,0,0,10,10
,55,-36,-262,0,0,10,10
,7,-158,-334,0,0,10,10
,8,-127,-334,0,0,10,10
,8,0,-334,0,0,10,10
,9,127,-334,0,0,10,10
,225,-115,-197,0,0,10,10
,60,-89,30,0,0,10,10
,68,-153,-76,0,0,10,10
,77,-124,-2,0,0,10,10
,81,-148,-333,0,0,10,10
,78,-24,-206,0,0,10,10
,106,-167,-118,0,0,10,10
,307,28,-143,0,6,10,10
,106,-167,-232,0,0,10,10
,85,129,-327,0,0,10,10
,85,107,-327,0,0,10,10
,85,81,-326,0,0,10,10
,7,-262,-334,0,0,10,10
,8,-127,-334,0,0,10,10
,8,0,-334,0,0,10,10
,8,-246,-334,0,0,10,10
,8,103,-334,0,0,10,10
,9,218,-334,0,0,10,10
,61,115,-143,0,6,10,10
,96,-111,-269,0,0,10,10
,52,-247,-171,0,0,10,10
,52,-126,-170,0,0,10,10
,52,-6,-169,0,0,10,10
,56,-33,-186,0,0,10,10
,60,-73,33,0,0,10,10
,64,-172,-68,0,0,10,10
,247,-77,-243,0,0,10,10
,7,-256,-334,0,0,10,10
,8,-127,-334,0,0,10,10
,8,0,-334,0,0,10,10
,8,-246,-334,0,0,10,10
