frame,c0
0,3
1,6
2,8
3,15
4,16
5,34
6,39
7,40
8,41
9,43
10,45
11,65
12,79
13,83
14,94
15,95
16,96
17,98
18,100
19,103
20,108
21,109
22,110
23,111
24,112
25,113
26,123
27,127
28,129
29,130
30,132
31,134
32,136
33,138
34,141
35,143
36,145
37,147
38,149
39,151
40,153
41,154
42,156
43,158
44,172
45,178
46,180
47,182
48,183
49,184
50,185
51,203
52,210
53,211
54,216
55,221
56,226
57,231
58,236
59,241
60,246
61,251
62,256
63,261
64,266
65,271
66,273
67,274
68,275
69,276
70,277
71,278
72,280
73,282
74,284
75,286
76,288
77,290
78,295
79,300
80,305
81,310
82,315
83,320
84,325
85,333
86,336
87,339
88,351
89,361
90,363
91,364
