frame,c0,c1,c2,c3,c4,c5,c6
,148,20,8,0,0,10,10
,16,0,0,0,0,10,10
,36,216,6,0,0,10,10
,148,20,8,0,0,10,10
,17,0,0,0,0,10,10
,36,216,6,0,0,10,10
,62,-207,-264,0,0,10,10
,67,187,-281,0,0,10,10
,226,-474,-326,0,0,10,10
,101,-379,-155,0,0,10,10
,99,-58,-296,0,0,10,10
,149,-360,-135,0,0,10,10
,149,-360,-69,0,0,10,10
,149,-360,-5,0,0,10,10
,67,438,-334,0,0,10,10
,112,0,0,0,0,10,10
,92,0,0,0,0,10,10
,87,73,7,0,0,10,10
,89,78,10,0,6,10,10
,88,71,5,0,0,10,10
,91,73,43,0,7,10,10
,90,79,45,0,7,10,10
,95,159,10,0,0,10,10
,96,159,45,0,7,10,10
,93,12,6,0,0,10,10
,94,8,4,0,0,10,10
,60,230,25,0,0,10,10
,51,261,26,0,8,10,10
,170,210,49,0,7,10,10
,60,242,53,0,7,10,10
,51,261,54,0,14,10,10
,170,3,49,0,0,10,10
,202,37,54,0,0,10,10
,50,53,54,0,18,10,10
,78,-63,0,0,0,10,10
,148,-472,14,0,0,10,10
,16,-479,7,0,0,10,10
,148,-262,14,0,0,10,10
,17,-271,7,0,0,10,10
,34,-25,-13,0,0,10,10
,35,-60,-24,0,0,10,10
,63,0,0,0,0,10,10
,66,22,70,0,10,10,10
,65,0,0,0,0,10,10
,103,20,11,0,0,10,10
,114,-432,-264,0,0,10,10
,116,-409,-129,0,0,10,10
,116,-274,-129,0,0,10,10
,116,-138,-129,0,0,10,10
,116,-3,-128,0,0,10,10
,116,131,-129,0,0,10,10
,116,263,-129,0,0,10,10
,118,-252,-118,0,0,10,10
,119,-128,-116,0,0,10,10
,120,-383,-110,0,0,10,10
,121,15,-116,0,0,10,10
,122,143,-119,0,0,10,10
,123,271,-123,0,0,10,10
,115,-408,-130,0,0,10,10
,115,-273,-130,0,0,10,10
,115,-137,-130,0,0,10,10
,115,-3,-129,0,0,10,10
,115,131,-130,0,0,10,10
,115,264,-130,0,0,10,10
,67,388,-282,0,0,10,10
,117,-403,-160,0,0,10,10
,117,-269,-160,0,0,10,10
,117,-134,-160,0,0,10,10
,117,1,-160,0,0,10,10
,117,134,-160,0,0,10,10
,117,267,-160,0,0,10,10
,117,267,-195,0,0,10,10
,105,-420,-157,0,0,10,10
,105,-284,-157,0,0,10,10
,105,-150,-157,0,0,10,10
,104,-14,-157,0,0,10,10
,104,120,-157,0,0,10,10
,104,254,-157,0,0,10,10
,105,251,-192,0,0,10,10
,111,-479,-329,0,0,10,10
,100,-64,-318,0,0,10,10
,67,416,-336,0,0,10,10
,229,-429,52,0,0,10,10
,160,29,-231,0,0,10,10
,162,-377,-137,0,0,10,10
,164,19,-133,0,0,10,10
,161,225,-239,0,0,10,10
,165,218,-135,0,0,10,10
,166,-374,-45,0,0,10,10
,163,-169,-135,0,0,10,10
,167,-174,-37,0,0,10,10
,168,16,-49,0,0,10,10
,169,228,-36,0,0,10,10
,203,-348,-223,0,0,10,10
,113,0,0,0,0,10,10
,124,73,17,0,0,10,10
,150,0,0,0,0,10,10
,104,25,17,0,0,10,10
,151,0,0,0,0,10,10
,105,25,17,0,0,10,10
,84,-493,-145,0,0,10,10
,75,31,-104,0,13,10,10
,39,-231,-104,0,17,10,10
,83,-202,-145,0,0,10,10
,75,-32,-104,0,13,10,10
,67,177,-166,0,0,10,10
,79,-159,-104,0,12,10,10
,153,-150,-99,0,0,10,10
,69,-2,-61,0,0,10,10
,70,-63,-61,0,0,10,10
,112,0,0,0,0,10,10
,110,-279,-107,0,0,10,10
,103,-231,16,0,0,10,10
,92,0,0,0,0,10,10
,87,73,7,0,0,10,10
,95,92,10,0,0,10,10
,89,78,10,0,6,10,10
,88,71,5,0,0,10,10
,93,12,6,0,0,10,10
,94,8,4,0,0,10,10
,60,230,25,0,0,10,10
,51,261,26,0,8,10,10
,36,289,17,0,0,10,10
,147,-82,-32,0,0,10,10
,147,22,-32,0,0,10,10
,37,35,-16,0,0,10,10
,38,-68,-19,0,0,10,10
,147,-29,-32,0,0,10,10
,37,-16,-16,0,0,10,10
,203,-374,73,0,0,10,10
,159,-410,65,0,0,10,10
,186,-336,114,0,0,10,10
,160,-409,66,0,0,10,10
,187,-353,115,0,0,10,10
,161,-415,58,0,0,10,10
,188,-346,116,0,0,10,10
,162,-412,64,0,0,10,10
,189,-312,115,0,0,10,10
,163,-394,61,0,0,10,10
,190,-425,117,0,0,10,10
,191,-339,117,0,0,10,10
,164,-413,69,0,0,10,10
,192,-333,114,0,0,10,10
,165,-415,67,0,0,10,10
,193,-311,116,0,0,10,10
,166,-423,58,0,0,10,10
,194,-366,117,0,0,10,10
,167,-411,69,0,0,10,10
,195,-340,115,0,0,10,10
,168,-417,58,0,0,10,10
,196,-340,115,0,0,10,10
,169,-409,68,0,0,10,10
,197,-353,116,0,0,10,10
,102,-69,-19,0,0,10,10
,151,-111,0,0,0,10,10
,104,-88,17,0,0,10,10
,151,-111,0,0,0,10,10
,105,-88,17,0,0,10,10
,114,-432,-264,0,0,10,10
,174,-269,-124,0,15,10,10
,175,-134,-126,0,15,10,10
,173,-403,-124,0,15,10,10
,176,1,-124,0,15,10,10
,177,136,-124,0,15,10,10
,178,268,-124,0,15,10,10
,115,-408,-130,0,0,10,10
,115,-273,-130,0,0,10,10
,115,-137,-130,0,0,10,10
,115,-3,-129,0,0,10,10
,115,131,-130,0,0,10,10
,115,264,-130,0,0,10,10
,67,388,-282,0,0,10,10
,117,-403,-160,0,0,10,10
,117,-269,-160,0,0,10,10
,117,-134,-160,0,0,10,10
,117,1,-160,0,0,10,10
,117,134,-160,0,0,10,10
,117,267,-160,0,0,10,10
,71,-159,-64,0,0,10,10
,72,-126,-47,0,0,10,10
,71,-159,-64,0,0,10,10
,73,-144,-47,0,0,10,10
,152,-23,-46,0,0,10,10
,183,0,0,0,0,10,10
,213,0,0,0,0,10,10
,204,21,-220,0,0,10,10
,206,-181,-220,0,0,10,10
,208,-382,-127,0,0,10,10
,225,31,-139,0,0,10,10
,207,222,-220,0,0,10,10
,225,234,-139,0,0,10,10
,225,-367,-45,0,0,10,10
,205,-177,-133,0,0,10,10
,225,-170,-45,0,0,10,10
,225,31,-45,0,0,10,10
,225,234,-45,0,0,10,10
,18,-343,-230,0,0,10,10
,221,238,-133,0,0,10,10
,222,36,-133,0,0,10,10
,219,-361,-39,0,0,10,10
,220,-165,-39,0,0,10,10
,223,36,-39,0,0,10,10
,224,234,-43,0,0,10,10
,201,0,0,0,0,10,10
,93,12,6,0,0,10,10
,170,2,49,0,0,10,10
,60,23,53,0,0,10,10
,51,53,54,0,8,10,10
,38,92,19,0,0,10,10
,38,163,19,0,0,10,10
,170,74,49,0,0,10,10
,225,0,5,0,0,10,10
,222,6,10,0,0,10,10
,170,-3,49,0,0,10,10
,60,18,53,0,0,10,10
,51,48,54,0,9,10,10
,225,0,5,0,0,10,10
,221,4,10,0,0,10,10
,170,-3,49,0,0,10,10
,60,18,53,0,0,10,10
,51,48,54,0,9,10,10
,225,0,5,0,0,10,10
,219,6,10,0,0,10,10
,170,-3,49,0,0,10,10
,60,18,53,0,0,10,10
,51,48,54,0,9,10,10
,225,0,5,0,0,10,10
