frame,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,0,0,0,0,0,-9,-131,28,24,-12,-107,19,57,-12,-52,26,52
2,20,0,0,0,0,0,-9,-134,27,27,-10,-106,22,55,-12,-52,27,50
3,31,0,0,0,0,0,-10,-132,27,28,-14,-105,28,53,-15,-52,31,51
4,42,0,0,0,0,0,-10,-132,26,28,-19,-106,36,56,-23,-51,41,49
5,53,0,0,0,0,0,-9,-131,28,27,-21,-105,44,53,-30,-52,56,49
6,64,0,0,0,0,0,-7,-130,26,28,-23,-102,48,51,-28,-52,52,49
7,75,0,0,0,0,0,-5,-130,25,28,-20,-104,41,52,-22,-53,43,53
8,85,0,0,0,0,0,-5,-130,25,28,-18,-104,33,55,-18,-50,32,49
9,95,0,0,0,0,0,-2,-131,30,29,-10,-105,28,50,-19,-55,32,54
10,107,0,0,0,0,0,1,-134,27,28,-14,-107,58,42,-23,-67,46,63
11,119,0,0,0,0,0,1,-136,29,29,-29,-110,79,36,-34,-74,64,64
12,131,0,0,0,0,0,-2,-133,29,30,-25,-105,68,42,-34,-64,69,63
13,142,0,0,0,0,0,-1,-131,28,27,-18,-106,45,46,-31,-60,46,58
14,153,0,0,0,0,0,-12,-132,26,26,-19,-106,35,51,-17,-55,34,54
15,164,0,0,0,0,0,-13,-131,27,26,-20,-105,36,50,-19,-55,34,55
16,175,0,0,0,0,0,-12,-130,26,25,-20,-105,36,50,-18,-56,33,54
17,186,0,0,0,0,0,-11,-123,27,29,-26,-95,62,35,-19,-60,40,60
18,197,0,0,0,0,0,-11,-121,26,26,-28,-95,64,35,-18,-60,38,60
19,208,0,0,0,0,0,-11,-121,26,28,-26,-93,62,33,-19,-60,38,60
20,219,0,0,0,0,0,-6,-118,24,28,-15,-92,40,34,-16,-59,39,59
21,230,0,0,0,0,0,-5,-115,26,25,-16,-92,42,35,-18,-56,41,56
22,241,0,0,0,0,0,-6,-115,25,28,-17,-90,42,36,-18,-55,41,55
23,253,0,0,0,0,0,-2,-115,27,27,-42,-96,81,23,-13,-74,44,65
24,264,0,0,0,0,0,3,-128,24,23,-15,-102,45,39,-15,-66,37,57
25,275,0,0,0,0,0,5,-127,25,24,-17,-102,58,33,-11,-70,41,55
26,286,0,0,0,0,0,1,-121,25,24,-16,-95,50,31,-10,-65,35,55
27,297,0,0,0,0,0,-11,-141,22,22,-22,-121,46,38,-4,-85,32,56
28,309,3,56,68,0,0,-20,-122,39,55,-2,-66,21,66,-4,-112,92,52
29,321,0,0,0,0,0,3,-135,27,26,-30,-110,81,25,-32,-85,66,64
30,326,0,0,0,0,0,-16,-121,29,25,-15,-98,23,48,-20,-53,41,54
31,331,0,0,0,0,0,-12,-120,23,23,-14,-100,21,47,-20,-55,42,55
32,336,0,0,0,0,0,-13,-121,24,24,-14,-97,22,43,-23,-54,42,54
33,347,0,0,0,0,0,2,-129,47,25,-10,-105,28,50,-19,-55,32,54
34,359,0,0,0,0,0,6,-135,43,30,-3,-111,20,50,-23,-67,46,63
35,371,0,0,0,0,0,1,-136,29,29,-5,-113,22,50,-34,-74,64,64
36,376,0,0,0,0,0,-13,-121,27,24,-15,-100,23,43,-15,-60,29,59
37,381,0,0,0,0,0,-12,-121,24,24,-12,-98,22,41,-16,-59,31,56
38,386,0,0,0,0,0,-13,-121,27,24,-15,-98,23,41,-15,-59,34,57
39,391,0,0,0,0,0,-12,-121,24,24,-12,-99,21,42,-24,-60,43,57
40,396,0,0,0,0,0,-11,-122,23,24,-14,-100,25,42,-31,-59,57,57
41,401,0,0,0,0,0,-11,-122,24,25,-14,-99,23,41,-35,-60,61,57
42,406,0,0,0,0,0,-12,-121,25,24,-15,-99,24,39,-33,-61,55,58
43,410,0,0,0,0,0,-13,-122,24,23,-15,-101,22,41,-23,-61,34,60
44,422,0,0,0,0,0,3,-135,27,26,-4,-118,26,38,-32,-85,66,64
