frame,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,12,61,84,120,133,-23,-7,43,12,3,1,4,3,-10,-6,20,9
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,4,77,58,110,17,-23,-7,43,12,1,0,7,3,-10,-6,20,9
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,2,77,58,110,17,-23,-7,43,12,-1,-1,7,3,-10,-6,20,9
14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,16,61,84,120,133,-23,-7,43,12,1,-2,4,2,-10,-6,20,9
16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,29,12,61,61,110,17,-104,-90,191,142,-2,-15,7,5,-103,-90,192,145
29,30,2,82,83,110,17,-12,-10,26,20,-1,0,4,3,-14,-11,27,20
30,31,2,77,58,111,189,0,0,0,0,-1,-50,7,10,-11,-78,22,80
31,32,2,77,58,111,189,0,0,0,0,1,-45,5,7,-11,-78,22,80
32,33,2,77,58,111,189,0,0,0,0,-1,-38,2,2,-11,-78,22,80
33,34,2,77,58,111,189,0,0,0,0,-2,-42,5,6,-11,-78,22,80
34,35,2,77,58,111,189,0,0,0,0,-7,-45,6,6,-18,-73,29,73
35,36,2,77,58,111,189,0,0,0,0,-11,-59,6,8,-16,-79,25,79
36,37,2,77,58,111,189,0,0,0,0,-9,-65,4,4,-15,-80,20,80
37,38,2,77,58,111,189,0,0,0,0,-6,-55,5,6,-15,-75,20,75
38,39,2,77,58,111,189,0,0,0,0,-4,-29,4,5,-10,-40,17,40
39,40,2,77,58,111,189,0,0,0,0,-2,-37,5,6,-11,-45,18,45
40,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,42,20,109,109,110,17,-26,-15,45,35,-1,1,6,4,-27,-15,48,36
42,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
