frame,c0,c1,c2,c3,c4,c5,c6
,0,0,-1,0,0,10,10
,5,0,0,0,0,10,10
,34,0,0,0,0,10,10
,8,0,0,0,0,10,10
,1,0,0,0,0,10,10
,9,0,0,397,0,10,10
,17,0,0,0,0,10,10
,18,0,0,0,0,10,10
,19,0,0,0,0,10,10
,20,0,0,0,0,10,10
,21,0,0,0,0,10,10
,22,0,0,0,0,10,10
,23,0,0,0,0,10,10
,2,0,0,0,0,10,10
,35,0,0,0,0,10,10
,4,0,0,0,0,10,10
,33,0,0,0,0,10,10
,24,0,0,0,0,10,10
,25,0,0,0,0,10,10
,26,0,0,0,0,10,10
,27,0,0,0,0,10,10
,28,0,0,0,0,10,10
,29,0,0,0,0,10,10
,30,0,0,0,0,10,10
,319,0,0,0,0,10,10
,320,0,0,0,0,10,10
,321,0,0,0,0,10,10
,322,0,0,0,0,10,10
,0,0,-250,0,0,10,10
,0,0,0,0,0,10,10
,38,-14,-82,0,0,10,10
,39,-16,-83,0,0,10,10
,40,-15,-83,0,0,10,10
,41,-18,-84,0,0,10,10
,42,-23,-82,0,0,10,10
,43,-22,-84,0,0,10,10
,44,-20,-86,0,0,10,10
,45,-20,-86,0,0,10,10
,46,-20,-86,0,0,10,10
,47,-20,-86,0,0,10,10
,7,0,0,0,5,10,10
,9,0,0,0,0,10,10
,12,-60,-2,0,0,10,10
,51,0,0,0,0,10,10
,52,0,0,0,0,10,10
,53,0,0,0,0,10,10
,54,0,0,0,0,10,10
,55,0,0,0,0,10,10
,337,0,0,0,0,10,10
,338,0,0,0,0,10,10
,339,0,0,0,0,10,10
,340,0,0,0,0,10,10
,341,0,0,0,0,10,10
,342,0,0,0,0,10,10
,343,0,0,0,0,10,10
,344,0,0,0,0,10,10
,384,0,0,0,0,10,10
,385,0,0,0,0,10,10
,386,0,0,0,0,10,10
,387,0,0,0,0,10,10
,68,-8,-6,0,0,10,10
,69,-10,-14,0,0,10,10
,70,-10,-18,0,0,10,10
,71,2,-35,0,0,10,10
,72,2,-40,0,0,10,10
,73,2,-42,0,0,10,10
,275,67,-21,0,6,10,10
,74,0,-44,0,0,10,10
,75,1,-48,0,0,10,10
,275,41,-15,0,6,10,10
,76,1,-53,0,0,10,10
,77,3,-55,0,0,10,10
,78,4,-54,0,0,10,10
,79,12,-56,0,0,10,10
,81,-1,-13,0,0,10,10
,82,2,-14,0,0,10,10
,83,3,-16,0,0,10,10
,84,5,-17,0,0,10,10
,85,9,-20,0,0,10,10
,86,12,-20,0,0,10,10
,87,16,-24,0,0,10,10
,88,18,-24,0,0,10,10
,275,48,4,0,6,10,10
,89,20,-22,0,0,10,10
,90,20,-22,0,0,10,10
,275,65,-16,0,6,10,10
,91,36,-18,0,0,10,10
,92,-2,-5,0,0,10,10
,93,-2,-14,0,0,10,10
,94,-1,-17,0,0,10,10
,95,3,-32,0,0,10,10
,96,5,-34,0,0,10,10
,97,10,-34,0,0,10,10
,98,21,-34,0,0,10,10
,99,27,-33,0,0,10,10
,275,71,-24,0,6,10,10
,100,30,-32,0,0,10,10
,101,33,-30,0,0,10,10
,275,60,-6,0,6,10,10
,102,34,-24,0,0,10,10
,103,50,-18,0,0,10,10
,105,-3,-4,0,0,10,10
,106,-11,-13,0,0,10,10
,107,-19,-23,0,0,10,10
,108,-23,-41,0,0,10,10
,109,-31,-41,0,0,10,10
,110,-34,-49,0,0,10,10
,275,20,-36,0,6,10,10
,111,-36,-54,0,0,10,10
,275,32,-15,0,6,10,10
,112,-40,-58,0,0,10,10
,275,12,17,0,6,10,10
,113,-49,-60,0,0,10,10
,114,-57,-63,0,0,10,10
,115,-42,-66,0,0,10,10
,116,-40,-66,0,0,10,10
,117,-28,-66,0,0,10,10
,118,-30,-52,0,0,10,10
,185,0,0,250,8,10,10
,120,0,0,250,8,10,10
,185,0,0,250,8,10,10
,121,0,0,250,8,10,10
,275,1,-3,100,6,10,10
,185,0,0,250,8,10,10
,122,0,0,250,8,10,10
,185,0,0,250,8,10,10
,123,0,0,250,8,10,10
,185,0,0,250,8,10,10
,124,0,0,250,8,10,10
,275,1,-3,100,6,10,10
,185,0,0,250,8,10,10
,125,0,0,250,8,10,10
,185,0,0,250,8,10,10
,126,0,0,250,8,10,10
,127,-20,-23,0,0,10,10
,128,-23,-88,0,0,10,10
,129,-46,-127,0,0,10,10
,130,-47,-136,0,0,10,10
,131,-49,-142,0,0,10,10
,132,-49,-146,0,0,10,10
,133,-49,-151,0,0,10,10
,134,-41,-156,0,0,10,10
,135,-40,-160,0,0,10,10
,136,-39,-162,0,0,10,10
,137,-39,-165,0,0,10,10
,138,-39,-168,0,0,10,10
,139,-40,-169,0,0,10,10
,140,-39,-169,0,0,10,10
,141,-37,-170,0,0,10,10
,142,-34,-156,0,0,10,10
,143,-17,-158,0,0,10,10
,162,-38,-57,0,0,10,10
,163,-80,-49,0,0,10,10
,128,-25,-91,0,0,10,10
,164,-95,-82,0,0,10,10
,129,-58,-93,0,0,10,10
,165,-80,-86,0,0,10,10
,131,-59,-98,0,0,10,10
,166,-81,-85,0,0,10,10
,132,-57,-105,0,0,10,10
,167,-79,-88,0,0,10,10
,133,-58,-109,0,0,10,10
,168,-79,-90,0,0,10,10
,134,-52,-112,0,0,10,10
,169,-76,-94,0,0,10,10
,135,-50,-118,0,0,10,10
,170,-74,-97,0,0,10,10
,136,-50,-124,0,0,10,10
,171,-76,-102,0,0,10,10
,137,-50,-130,0,0,10,10
,172,-78,-104,0,0,10,10
,138,-52,-138,0,0,10,10
,173,-76,-111,0,0,10,10
,139,-55,-147,0,0,10,10
,174,-78,-120,0,0,10,10
,140,-54,-150,0,0,10,10
,175,-78,-125,0,0,10,10
,141,-51,-152,0,0,10,10
,176,-77,-130,0,0,10,10
,142,-45,-138,0,0,10,10
,177,-78,-138,0,0,10,10
,143,-27,-140,0,0,10,10
,178,-38,-137,0,0,10,10
,260,-5,-56,537,0,10,10
,261,-3,-21,0,0,10,10
,262,2,-53,0,0,10,10
,263,2,-65,0,0,10,10
,264,-5,-39,0,0,8,10
,265,8,-33,0,0,10,10
,266,3,-33,0,0,10,10
,267,5,-44,0,0,10,10
,268,-2,-9,0,0,10,10
,269,7,-13,0,0,10,10
,270,10,-8,0,0,10,10
,271,9,-24,0,0,10,10
,272,11,-19,0,0,10,10
,273,11,-63,0,0,10,10
,274,12,-42,0,0,10,10
,260,41,-29,582,0,10,10
,261,27,-21,627,0,10,10
,262,12,-37,20,0,10,10
,263,17,-61,35,0,10,10
,264,36,-70,200,0,8,10
,265,13,-50,145,0,10,10
,266,32,-29,100,0,10,10
,267,37,-43,50,0,10,10
,268,39,-48,600,0,10,10
,269,13,-65,200,0,10,10
,270,57,-69,100,0,10,10
,271,62,-44,0,0,10,10
,272,13,-11,0,0,10,10
,273,80,-26,0,0,10,10
,274,35,-16,0,0,10,10
,260,69,-34,95,0,10,10
,261,71,-18,100,0,10,10
,262,42,-37,200,0,10,10
,263,45,-64,200,0,10,10
,264,73,-77,300,0,8,10
,265,22,-52,200,0,10,10
,266,42,-22,200,0,10,10
,267,55,-51,100,0,10,10
,268,60,-57,100,0,10,10
,269,25,-75,0,0,10,10
,270,60,-80,0,0,10,10
,271,94,-39,100,0,10,10
,272,22,-16,100,0,10,10
,273,109,-19,100,0,10,10
,274,57,-14,200,0,10,10
,260,89,-29,200,0,10,10
,261,102,-16,200,0,10,10
,262,48,-28,375,0,10,10
,263,71,-64,305,0,10,10
,264,99,-79,470,0,8,10
,265,41,-51,280,0,10,10
,266,58,-17,300,0,10,10
,267,86,-58,175,0,10,10
,268,95,-65,200,0,10,10
,269,45,-77,100,0,10,10
,270,86,-86,517,0,10,10
,271,124,-35,300,0,10,10
,272,42,-11,200,0,10,10
,273,137,-10,200,0,10,10
,274,76,-16,300,0,10,10
,260,117,-12,325,0,10,10
,261,137,-8,330,0,10,10
,262,55,-31,465,0,10,10
,263,97,-52,440,0,10,10
,264,132,-74,0,0,8,10
,265,66,-43,400,0,10,10
,266,73,-9,400,0,10,10
,267,110,-52,300,0,10,10
,268,123,-62,300,0,10,10
,269,75,-74,200,0,10,10
,270,114,-85,400,0,10,10
,271,156,-38,400,0,10,10
,272,57,-2,300,0,10,10
,273,168,1,400,0,10,10
,274,100,-4,400,0,10,10
,260,140,-4,400,9,10,10
,261,164,-1,470,9,10,10
,262,66,-30,582,9,10,10
,263,116,-26,552,9,10,10
,264,162,-59,200,9,8,10
,265,84,-40,572,9,10,10
,266,84,-5,600,9,10,10
,267,127,-41,400,9,10,10
,268,146,-59,400,9,10,10
,269,104,-68,300,9,10,10
,270,142,-75,300,9,10,10
,271,177,-32,600,9,10,10
,272,69,5,400,9,10,10
,273,193,5,300,9,10,10
,274,123,-2,500,9,10,10
,279,0,0,0,0,10,10
,280,0,0,0,0,10,10
,281,0,0,0,0,10,10
,282,0,0,0,0,10,10
,283,0,0,600,0,10,10
,284,0,0,0,8,10,10
,285,0,0,0,0,10,10
,286,0,0,0,0,10,10
,287,0,0,0,0,10,10
,288,0,0,0,0,10,10
,289,0,0,0,0,10,10
,290,0,0,0,0,10,10
,145,0,0,0,0,10,10
,146,0,0,0,0,10,10
,147,0,0,0,0,10,10
,148,0,0,0,0,10,10
,149,0,0,0,0,10,10
,150,0,0,0,0,10,10
,151,0,0,0,0,10,10
,152,0,0,0,0,10,10
,153,0,0,0,0,10,10
,154,0,0,0,0,10,10
,155,0,0,0,0,10,10
,156,0,0,0,0,10,10
