index,name,info,comment,costType,cost,upCost,unique,evade,hitrate,dmg,hp,moveSpd,atkSpd,put,max,putValue,have,haveValue,upHaveValue
int,int,int,int,int,int,int,int,float,float,float,float ,float,float,int,int,int,list<int>,list<int>,list<int>
1,61,390,399,3,0,200,0,10,10,50,2000,3,1,2,50,100,"[2,11]","[50,10]","[10,2]"
2,62,391,400,3,10000,300,0,10,10,10,100,3.2,1,2,50,200,"[2,12]","[70,10]","[7,2]"
3,63,392,401,3,15000,300,0,10,10,10,100,3.2,1,2,50,300,"[2,8]","[100,200]","[20,40]"
4,64,393,402,3,3000,300,0,10,10,10,100,3.2,1,2,50,400,"[2,9]","[150,300]","[30,60]"
5,65,394,403,3,6000,300,0,10,10,10,100,3.2,1,2,50,500,"[2,11]","[200,20]","[40,4]"
6,66,395,404,3,9000,400,0,10,10,10,100,3.4,1,2,50,700,"[2,17,3]","[300,100,50000]","[60,20,10000]"
7,67,396,405,3,15000,400,0,10,10,10,100,3.4,1,2,50,700,"[2,5,4]","[300,500,500]","[60,100,100]"
8,162,397,406,3,15000,400,5001,10,10,10,100,3.4,1,2,50,700,"[2,32,4]","[300,500,500]","[60,100,100]"
9,163,398,407,3,15000,500,0,10,10,10,100,3.6,1,2,50,700,"[32,19,52]","[300,100,200]","[60,20,40]"
