id,name,gubun,gubun_id,img,step,need_money,toss,need_amount,need_amount_taiwan,only1_txt,only1_limit,only1_period,only1_period_gubun,pid,value_per,p1_gubun,p1_amount,p2_gubun,p2_amount,p3_gubun,p3_amount,p4_gubun,p4_amount,p5_gubun,p5_amount,p6_gubun,p6_amount,p7_gubun,p7_amount,p8_gubun,p_amount,cont,txt
int,string,int,int,string,int,int,int,int,int,string,int,int,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,int
0,환영해요 패키지,0,0,0,0,0,0,0,0,오직 1회 구매,1,0,,beeorbit.kpop_welcomepackage,,10,1000,1,100000,,,,,,,,,,,,,0,0
1,출시기념 패키지,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,0,0
2,고속성장 패키지,0,0,0,0,0,550,500,500,,1,0,,,600,43,1,43,500,43,500,43,500,,,,,,,,,0,0
3,광고제거 패키지,100,0,0,0,0,11000,10000,10000,,1,0,,beeorbit.kpop_adpackage,9999,48,0,3,1500,31,10,24,50,,,,,,,,,537,278
4,명중 패지키,0,0,0,0,0,6600,6000,120,,1,0,,,9999,43,500,43,500,43,500,43,500,,,,,,,,,0,0
5,파워 패키지,0,0,0,0,0,6600,6000,120,,1,0,,,9999,43,500,43,500,43,500,43,500,,,,,,,,,0,0
6,회피 패키지,0,0,0,0,0,6600,6000,120,,1,0,,,9999,43,500,43,500,43,500,43,500,,,,,,,,,0,0
7,보석 패키지,0,0,0,0,0,6600,6000,120,,1,0,,,9999,43,500,43,500,43,500,43,500,,,,,,,,,0,0
8,초보자 패키지1,101,0,0,1,0,1650,1500,120,,1,0,,beeorbit.kpop_chobopackage_1,9999,3,400,31,5,,,,,,,,,,,,,538,279
9,초보자 패키지2,101,1,0,2,0,6600,6000,120,,1,0,,beeorbit.kpop_chobopackage_2,9999,3,800,31,10,8,100,,,,,,,,,,,538,279
10,초보자 패키지3,101,2,0,3,0,13200,12000,120,,1,0,,beeorbit.kpop_chobopackage_3,9999,3,1500,31,20,8,200,37,500,,,,,,,,,538,279
11,성장 패키지1,102,0,0,1,0,0,0,120,,1,0,,beeorbit.kpop_growpackage_free,9999,2,3000,24,5,,,,,,,,,,,,,539,280
12,성장 패키지2,102,1,0,2,0,1650,1500,120,,1,0,,beeorbit.kpop_growpackage_2,9999,3,400,24,10,8,30,,,,,,,,,,,539,280
13,성장 패키지3,102,2,0,3,0,6600,6000,120,,1,0,,beeorbit.kpop_growpackage_3,9999,3,800,24,20,8,200,14,100,,,,,,,,,539,280
14,성장 패키지4,102,3,0,4,0,13200,12000,120,,1,0,,beeorbit.kpop_growpackage_4,9999,3,1500,24,40,8,400,14,200,,,,,,,,,539,280
15,성장 패키지5,102,4,0,5,0,42900,39000,120,,1,0,,beeorbit.kpop_growpackage_5,9999,3,4000,24,80,8,900,14,300,,,,,,,,,539,280
16,성장 패키지6,102,5,0,6,0,69300,63000,120,,1,0,,beeorbit.kpop_growpackage_6,9999,3,7000,24,150,8,2000,14,400,,,,,,,,,539,280
17,성장 패키지7,102,6,0,7,0,132000,120000,120,,1,0,,beeorbit.kpop_growpackage_7,9999,3,15000,24,300,8,4000,14,500,,,,,,,,,539,280
18,동료 패키지1,103,0,0,1,0,1650,1500,120,,1,0,,beeorbit.kpop_peerpackage_1,9999,37,100,11,100,,,,,,,,,,,,,540,281
19,동료 패키지2,103,1,0,2,0,6600,6000,120,,1,0,,beeorbit.kpop_peerpackage_2,9999,38,100,11,200,,,,,,,,,,,,,540,281
20,동료 패키지3,103,2,0,3,0,13200,12000,120,,1,0,,beeorbit.kpop_peerpackage_3,9999,39,100,11,350,,,,,,,,,,,,,540,281
21,동료 패키지4,103,3,0,4,0,42900,39000,120,,1,0,,beeorbit.kpop_peerpackage_4,9999,40,100,11,700,,,,,,,,,,,,,540,281
22,동료 패키지5,103,4,0,5,0,69300,63000,120,,1,0,,beeorbit.kpop_peerpackage_5,9999,41,100,11,1500,,,,,,,,,,,,,540,281
23,동료 패키지6,103,5,0,6,0,132000,120000,120,,1,0,,beeorbit.kpop_peerpackage_6,9999,42,100,11,3000,,,,,,,,,,,,,540,281
24,무기 패키지1,104,0,0,1,0,1650,1500,120,,1,0,,beeorbit.kpop_weaponpackage_1,9999,3,400,29,10,,,,,,,,,,,,,541,282
25,무기 패키지2,104,1,0,2,0,6600,6000,120,,1,0,,beeorbit.kpop_weaponpackage_2,9999,3,800,29,20,,,,,,,,,,,,,541,282
26,무기 패키지3,104,2,0,3,0,13200,12000,120,,1,0,,beeorbit.kpop_weaponpackage_3,9999,3,1500,29,40,46,1,,,,,,,,,,,541,282
27,무기 패키지4,104,3,0,4,0,42900,39000,120,,1,0,,beeorbit.kpop_weaponpackage_4,9999,3,4000,29,80,46,3,,,,,,,,,,,541,282
28,무기 패키지5,104,4,0,5,0,69300,63000,120,,1,0,,beeorbit.kpop_weaponpackage_5,9999,3,7000,29,150,46,6,,,,,,,,,,,541,282
29,무기 패키지6,104,5,0,6,0,132000,120000,120,,1,0,,beeorbit.kpop_weaponpackage_6,9999,3,15000,29,300,46,10,,,,,,,,,,,541,282
30,오라 패키지1,105,0,0,1,0,1650,1500,120,,1,0,,beeorbit.kpop_aurapackage_1,9999,3,400,30,10,,,,,,,,,,,,,542,283
31,오라 패키지2,105,1,0,2,0,6600,6000,120,,1,0,,beeorbit.kpop_aurapackage_2,9999,3,800,30,20,,,,,,,,,,,,,542,283
32,오라 패키지3,105,2,0,3,0,13200,12000,120,,1,0,,beeorbit.kpop_aurapackage_3,9999,3,1500,30,40,,,,,,,,,,,,,542,283
33,오라 패키지4,105,3,0,4,0,42900,39000,120,,1,0,,beeorbit.kpop_aurapackage_4,9999,3,4000,30,80,47,1,,,,,,,,,,,542,283
34,오라 패키지5,105,4,0,5,0,69300,63000,120,,1,0,,beeorbit.kpop_aurapackage_5,9999,3,7000,30,150,47,3,,,,,,,,,,,542,283
35,오라 패키지6,105,5,0,6,0,132000,120000,120,,1,0,,beeorbit.kpop_aurapackage_6,9999,3,15000,30,300,47,10,,,,,,,,,,,542,283
156,핑크 다이아 150,1,0,0,0,0,1650,1500,33,,0,0,,beeorbit.kpop_dia_150,,3,150,,,,,,,,,,,,,,,0,0
157,핑크 다이아 600,1,1,0,0,0,6600,6000,120,,0,0,,beeorbit.kpop_dia_600,,3,600,,,,,,,,,,,,,,,0,0
158,핑크 다이아 1200,1,2,0,0,0,13200,12000,240,,0,0,,beeorbit.kpop_dia_1200,,3,1200,,,,,,,,,,,,,,,0,0
159,핑크 다이아 4000,1,3,0,0,0,44000,40000,790,,0,0,,beeorbit.kpop_dia_4000,,3,4000,,,,,,,,,,,,,,,0,0
160,핑크 다이아 8000,1,4,0,0,0,88000,80000,1260,,0,0,,beeorbit.kpop_dia_8000,,3,8000,,,,,,,,,,,,,,,0,0
161,핑크 다이아 20000,1,5,0,0,0,220000,200000,2390,,0,0,,beeorbit.kpop_dia_20000,,3,20000,,,,,,,,,,,,,,,0,0
162,다이아 3000,2,0,0,0,3,165,150,0,3000,0,0,,,,2,3000,,,,,,,,,,,,,,,0,0
163,다이아 90000,2,1,0,0,3,4400,4000,0,90000,0,0,,,,2,90000,,,,,,,,,,,,,,,0,0
164,다이아 300000,2,2,0,0,3,14300,13000,0,300000,0,0,,,,2,300000,,,,,,,,,,,,,,,0,0
165,다이아 600000,2,3,0,0,3,27500,25000,0,600000,0,0,,,,2,600000,,,,,,,,,,,,,,,0,0
166,다이아 3000000,2,4,0,0,3,132000,120000,0,3000000,0,0,,,,2,3000000,,,,,,,,,,,,,,,0,0
167,다이아 9000000,2,5,0,0,3,385000,350000,0,9000000,0,0,,,,2,9000000,,,,,,,,,,,,,,,0,0
168,골드엔진 10,5,0,0,0,3,275,250,0,9000000,0,0,,,,50,10,,,,,,,,,,,,,,,0,0
169,골드엔진 150,5,1,0,0,3,3850,3500,0,9000000,0,0,,,,50,150,,,,,,,,,,,,,,,0,0
170,골드엔진 500,5,2,0,0,3,11000,10000,0,9000000,0,0,,,,50,500,,,,,,,,,,,,,,,0,0
171,복원석 100,3,0,0,0,3,165,150,0,9000000,0,0,,,,19,100,,,,,,,,,,,,,,,0,0
172,복원석 1000,3,1,0,0,3,1485,1350,0,9000000,0,0,,,,19,1000,,,,,,,,,,,,,,,0,0
173,복원석 10000,3,2,0,0,3,13200,12000,0,9000000,0,0,,,,19,10000,,,,,,,,,,,,,,,0,0
174,골드 1시간,4,0,0,0,2,2200,2000,0,9000000,0,0,,,,1,1,,,,,,,,,,,,,,,0,0
175,골드 3시간,4,1,0,0,2,5500,5000,0,9000000,0,0,,,,1,3,,,,,,,,,,,,,,,0,0
176,골드 6시간,4,2,0,0,2,9900,9000,0,9000000,0,0,,,,1,7,,,,,,,,,,,,,,,0,0
177,골드 12시간,4,3,0,0,2,18700,17000,0,9000000,0,0,,,,1,15,,,,,,,,,,,,,,,0,0
178,골드 24시간,4,4,0,0,2,36300,33000,0,9000000,0,0,,,,1,31,,,,,,,,,,,,,,,0,0
179,골드 48시간,4,5,0,0,2,71500,65000,0,9000000,0,0,,,,1,63,,,,,,,,,,,,,,,0,0
180,일일 패키지,900,0,0,1,0,0,0,0,,1,1,day,beeorbit.kpop_dailypackage_free,,2,3000,,,,,,,,,,,,,,,0,294
181,일일 패키지 2,900,1,0,2,0,1650,1500,33,,1,1,day,beeorbit.kpop_dailypackage_2,200,3,200,31,5,,,,,,,,,,,,,0,294
