index,name,prefab,type,elite,monster
int,int,int,int,int,list<int>
1,1,1,1,11000,"[1001,1002,1003,1004,1005,1006,1007]"
2,2,2,2,3009,"[3001,3002,3003,3004,3005,3006,3007,3008]"
3,3,3,1,11000,"[1001,1002,1003,1004,1005,1006,1007]"
4,4,4,1,3009,"[3001,3002,3003,3004,3005,3006,3007,3008]"
5,5,5,2,11000,"[1001,1002,1003,1004,1005,1006,1007]"
6,6,6,1,3009,"[3001,3002,3003,3004,3005,3006,3007,3008]"
7,7,7,3,11000,"[1001,1002,1003,1004,1005,1006,1007]"
8,8,8,1,3009,"[3001,3002,3003,3004,3005,3006,3007,3008]"
9,9,9,1,11000,"[1001,1002,1003,1004,1005,1006,1007]"
10,10,10,3,3009,"[3001,3002,3003,3004,3005,3006,3007,3008]"
11,11,11,2,11000,"[1001,1002,1003,1004,1005,1006,1007]"
12,12,12,2,11000,"[1001,1002,1003,1004,1005,1006,1007]"
13,13,13,2,11000,"[1001,1002,1003,1004,1005,1006,1007]"
14,14,14,2,11000,"[1001,1002,1003,1004,1005,1006,1007]"
15,15,15,2,11000,"[1001,1002,1003,1004,1005,1006,1007]"
16,16,16,2,11000,"[1001,1002,1003,1004,1005,1006,1007]"
17,17,17,2,11000,"[1001,1002,1003,1004,1005,1006,1007]"
18,18,18,2,11000,"[1001,1002,1003,1004,1005,1006,1007]"
19,19,19,2,11000,"[1001,1002,1003,1004,1005,1006,1007]"
20,20,19,2,11000,"[1001,1002,1003,1004,1005,1006,1007]"
