index,name,prefab,dmg,cost,upDmg,grade,tierNum,tier,delay,criChance,criDmg,temp,special,cooltime,time,specialValue,specialUpValue,have: list<int>,haveValue: list<float>,haveUpValue: list<float>,haveStarUpValue: list<float>
int,int,int,float,int,int,int,int,int,float,float,float,string,int,float,float,float,float,,,,
1,1,10001,130,2,1,1,1,1,1,10,150,,0,0,0,0,0,"[2,0,0,0]","[10,0,0,0]","[0.1,0,0,0]","[10,0,0,0]"
2,2,10002,191,4,2,2,2,1,1,10,150,,0,0,0,0,0,"[5,0,0,0]","[20,0,0,0]","[0.2,0,0,0]","[20,0,0,0]"
3,3,10003,281,6,3,3,3,1,1,10,150,,0,0,0,0,0,"[11,0,0,0]","[1,0,0,0]","[0.01,0,0,0]","[1,0,0,0]"
4,4,10004,413,8,4,4,4,1,1,10,150,,0,0,0,0,0,"[8,0,0,0]","[20,0,0,0]","[0.2,0,0,0]","[20,0,0,0]"
5,5,10005,607,10,6,5,5,1,1,10,150,,0,0,0,0,0,"[9,0,0,0]","[20,0,0,0]","[0.2,0,0,0]","[20,0,0,0]"
6,6,10006,892,12,9,6,1,2,1,10,150,,0,0,0,0,0,"[2,2,0,0]","[20,10,0,0]","[0.2,0.1,0,0]","[20,10,0,0]"
7,7,10007,1311,14,13,7,2,2,1,10,150,,0,0,0,0,0,"[5,2,0,0]","[30,10,0,0]","[0.3,0.1,0,0]","[30,10,0,0]"
8,8,10008,1927,16,19,8,3,2,1,10,150,,0,0,0,0,0,"[11,2,0,0]","[1,10,0,0]","[0.01,0.1,0,0]","[1,10,0,0]"
9,9,10009,2833,18,28,9,4,2,1,10,150,,0,0,0,0,0,"[8,2,0,0]","[40,10,0,0]","[0.4,.01,0,0]","[40,10,0,0]"
10,10,10010,4165,20,42,10,5,2,1,10,150,,0,0,0,0,0,"[9,2,0,0]","[40,10,0,0]","[0.4,0.1,0,0]","[40,10,0,0]"
