lv,skillGachaReward,skillGachaValue,peerGachaReward,peerGachaValue,passiveGachaReward,passiveGachaValue,gemGachaReward,gemGachaValue
int,int,int,int,int,int,int,int,int
2,2,2000,2,2000,2,2000,2,2000
3,14,200,11,200,2,3000,16,200
4,2,4000,2,4000,2,4000,2,4000
5,14,300,11,300,2,5000,16,300
6,2,6000,2,6000,2,6000,2,6000
7,14,400,11,400,2,7000,16,400
8,2,8000,2,8000,2,8000,2,8000
9,14,500,11,500,2,9000,16,500
10,2,10000,2,10000,2,10000,2,10000
11,14,600,11,600,2,11000,16,600
12,2,12000,2,12000,2,12000,2,12000
13,14,700,11,700,2,13000,16,700
14,2,14000,2,14000,2,14000,2,14000
15,14,800,11,800,2,15000,25,50
16,2,16000,2,16000,2,16000,2,16000
17,14,900,11,900,2,17000,25,100
18,2,18000,2,18000,2,18000,2,18000
19,14,1000,11,1000,2,19000,25,150
20,2,20000,2,20000,2,20000,2,20000
