index,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
int,string,string,string,string,string,string,string,string,string
1,서울,seoul,ソウル,汉城,首爾,Сеул,Séoul,Seúl,Seoul
2,도쿄,Tokyo,東京,东京,東京,Токио,Tokyo,Tokio,Tokyo
3,로마,Rome,ローマ,罗马,羅馬,Рим,Rome,Roma,Rome
4,타이베이,Taipei,台北,台北,臺北,Тайбэй,Taipei,Taipéi,Đài Bắc
5,하노이,Hanoi,ハノイ,河内,河內,Ханой,Hanoï,Hanoi,Hà Nội
6,암스테르담,Amsterdam,アムステルダム,阿姆斯特丹,阿姆斯特丹,Амстердам,Amsterdam,Ámsterdam,Amsterdam
7,파리,fly,飛ぶ,飞,飛,летать,voler,volar,bay
8,뉴욕,New York,ニューヨーク,纽约,紐約,Нью-Йорк,New York,Nueva York,New York
9,리오데자네이루,Rio de Janeiro,リオデジャネイロ,里约热内卢,裡約熱內盧,Рио-де-Жанейро,Rio de Janeiro,Río de Janeiro,Rio de Janeiro
10,카이로,Cairo,カイロ,开罗,開羅,Каир,Caire,El Cairo,Cairo
11,우주,universe,宇宙,宇宙,宇宙,вселенная,univers,universo,vũ trụ
12,우주,universe,宇宙,宇宙,宇宙,вселенная,univers,universo,vũ trụ
13,우주,universe,宇宙,宇宙,宇宙,вселенная,univers,universo,vũ trụ
14,우주,universe,宇宙,宇宙,宇宙,вселенная,univers,universo,vũ trụ
15,우주,universe,宇宙,宇宙,宇宙,вселенная,univers,universo,vũ trụ
16,우주,universe,宇宙,宇宙,宇宙,вселенная,univers,universo,vũ trụ
17,우주,universe,宇宙,宇宙,宇宙,вселенная,univers,universo,vũ trụ
18,우주,universe,宇宙,宇宙,宇宙,вселенная,univers,universo,vũ trụ
19,우주,universe,宇宙,宇宙,宇宙,вселенная,univers,universo,vũ trụ
20,꿈동산,Dreamland,ドリームランド,梦境,夢境,Страна мечты,Pays de rêve,País de los sueños,Vùng đất mộng mơ
21,네스,Ness,ネス,尼斯,尼斯,Несс,Ness,Ness,Ness
22,구스,Goose,ガチョウ,鹅,鵝,Гусь,Oie,Ganso,Ngỗng
23,스컬,Skull,頭蓋骨,颅骨,顱骨,Череп,Crâne,Cráneo,Đầu lâu
24,스파이더,Spider,スパイダー,蜘蛛,蜘蛛,Паук,Araignée,Araña,Nhện
