index,ability,grade,max,cost,value,upValue,before
int,int,int,int,int,float,float,list<int>
1,2,1,10,2,50,10,[]
2,11,2,10,3,5,1,[1]
3,7,3,20,5,1,1,[2]
4,40,4,10,10,3,3,"[40,56]"
5,7,5,20,10,2,2,[4]
6,52,6,10,30,100,100,[5]
7,7,7,20,20,3.5,3.5,[6]
8,7,7,20,20,3.5,3.5,[6]
9,32,2,10,2,50,10,[1]
10,32,4,10,7,100,20,"[16,22]"
11,31,5,20,10,1.5,1.5,[10]
12,31,6,20,15,2.5,2.5,"[20,26]"
13,32,7,10,20,350,70,[12]
14,32,7,10,20,350,70,[12]
15,31,3,20,5,1,1,[9]
16,33,2,10,3,150,30,[9]
17,33,3,10,5,300,60,[16]
18,33,4,10,7,500,100,[17]
19,32,5,10,10,150,30,[18]
20,39,5,10,10,500,100,[10]
21,39,6,10,15,700,140,[20]
22,36,3,10,5,300,60,[9]
23,36,4,10,7,500,100,[22]
24,36,5,10,10,700,140,[23]
25,32,6,10,15,200,40,[24]
26,41,5,10,10,1,1,[10]
27,41,6,10,15,2,2,[26]
28,4,2,10,3,50,10,[1]
29,4,3,10,5,100,20,[28]
30,12,3,10,5,10,2,[28]
31,12,4,10,7,15,3,[30]
32,4,5,10,10,300,60,[31]
33,12,5,10,10,35,7,[38]
34,6,3,20,5,2,2,[28]
35,6,4,20,7,3,3,[34]
36,4,5,10,10,300,60,[35]
37,6,5,20,10,5,5,[38]
38,4,4,10,7,200,40,"[30,34]"
39,4,6,10,15,500,100,"[33,37]"
40,9,3,10,5,100,20,[2]
41,5,5,10,10,100,20,[4]
42,5,6,10,15,300,60,[41]
43,9,4,10,7,200,40,[40]
44,17,2,10,3,1,1,[1]
45,17,3,10,5,3,3,[44]
46,17,4,10,7,6,6,"[48,52]"
47,17,6,10,15,10,10,"[51,55]"
48,18,3,5,5,1,1,[44]
49,18,4,5,7,2,2,[48]
50,18,5,5,10,3,3,[49]
51,38,5,10,10,1,1,[46]
52,20,3,5,5,0.5,0.5,[44]
53,20,4,5,7,1,1,[52]
54,20,5,5,10,1.5,1.5,[53]
55,19,5,10,10,10,10,[46]
56,8,3,10,5,100,20,[2]
57,11,5,10,10,35,7,[4]
58,11,6,10,15,50,10,[57]
59,8,4,10,7,200,40,[56]
60,9,5,10,10,300,60,[43]
61,2,6,10,15,150,30,[60]
62,8,5,10,10,300,60,[59]
63,2,6,10,15,300,60,[62]
64,40,6,10,20,5,5,[58]
65,40,6,10,20,5,5,[42]
