index,textValue,open,text,tutorial,tutorialText,finger,fingerPos,image,shortcut,goalType,up,max,goal,reward,rewardValue
int,int,int,int,int,list<int>,list<int>,list<int>,list<int>,int,int,int,int,int,int,int
1,1,0,1,1,"[1,2,3]",[],[],[],0,0,0,0,5,2,50
2,1,0,2,0,[],[],[],[],0,1,0,0,2,2,50
3,1,73,9,2,[4],"[1,2]","[1,0]",[],1,101,0,0,1,2,50
4,1,0,1,0,[],[],[],[],0,0,0,0,5,12,5
5,1,80,4,3,[5],"[1,3,4,5]","[1,0,0,0]",[],2,3,0,0,1,2,50
6,1,0,1,0,[],[],[],[],0,0,0,0,5,2,50
7,1,74,56,4,"[6,7]","[6,7,1001,8]","[1,0,0,0]",[],101,200,0,0,1,2,50
8,1,0,6,5,"[9,10]","[6,1002,11]","[1,0,0]",[],11,6,0,0,1,2,50
9,1,0,33,6,"[8,16]","[6,10]","[1,0]",[],11,5,0,0,1,2,50
10,0,0,7,7,"[11,12]","[6,12]","[1,0]",[],11,7,0,0,1,19,5
11,1,0,8,8,"[13,14,15]","[6,1002,13, 52]","[1,0,0,0]",[],11,8,0,0,1,2,50
12,1,0,1,0,[],[],[],[],0,0,0,0,5,2,50
13,1,0,56,0,[],[],[],[],101,200,0,0,1,2,50
14,1,0,2,0,[],[],[],[],0,1,0,0,3,2,50
15,1,0,10,0,[],[],[],[],1,102,0,0,1,12,5
16,1,0,4,0,[],[],[],[],2,3,0,0,1,2,50
17,1,0,6,0,[],[],[],[],11,6,0,0,3,2,50
18,1,0,1,0,[],[],[],[],0,0,0,0,5,2,50
19,1,0,56,0,[],[],[],[],101,200,0,0,1,2,50
20,1,0,14,9,"[17,18,19]","[6,1002,14,52]","[1,0,0,0]",[],11,9,0,0,1,2,50
21,0,0,15,10,[20],"[6,15]","[1,0]",[],11,10,0,0,1,2,50
22,0,0,16,11,[21],"[6,16]","[1,0]",[],11,11,0,0,1,2,50
23,1,0,1,0,[],[],[],[],0,0,0,0,5,2,50
24,1,0,3,0,[],[],[],[],0,2,0,0,1,2,50
25,1,0,2,0,[],[],[],[],0,1,0,0,4,2,50
26,1,0,11,0,[],[],[],[],1,103,0,0,1,2,3000
27,1,78,17,12,"[22,23]","[17,18]","[1,0]",[],21,12,0,0,30,2,50
28,1,75,18,13,[24],"[19,1003,20,21]","[1,0,0,0]",[],31,13,0,0,1,2,50
29,1,0,56,0,[],[],[],[],101,200,0,0,1,2,50
30,1,0,6,0,[],[],[],[],11,6,0,0,5,20,1
31,1,76,19,14,"[25,26]","[22,23,1004,24]","[1,0,0,0]",[],51,51,0,0,1,2,50
32,1,0,34,15,[27],"[1,25,26]","[1,0,0]",[],3,14,0,0,1,2,50
33,1,0,1,0,[],[],[],[],0,0,0,0,7,2,50
34,1,0,56,0,[],[],[],[],101,200,0,0,1,2,50
35,1,0,2,0,[],[],[],[],0,1,0,0,5,2,50
36,1,0,12,0,[],[],[],[],1,104,0,0,1,2,3000
37,1,0,20,16,"[28,29]","[17,27]","[1,0]",[],21,15,0,0,30,2,50
38,1,3,21,17,[30],"[28,1005,29]","[1,0,0]",[],41,16,0,0,1,2,50
39,1,0,6,0,[],[],[],[],11,6,0,0,5,21,1
40,1,0,36,0,[],[],[],[],51,52,0,0,1,2,50
41,1,0,22,18,[31],"[28,1005,30]","[1,0,0]",[],41,17,0,0,1,2,50
42,1,0,56,0,[],[],[],[],101,200,0,0,1,2,50
43,1,0,1,0,[],[],[],[],0,0,0,0,7,2,3000
44,1,0,20,0,[],[],[],[],21,15,0,0,30,2,50
45,1,0,23,19,"[32,33]","[28,1005,31]","[1,0,0]",[],41,18,0,0,1,2,50
46,1,0,3,0,[],[],[],[],0,2,0,0,2,2,50
47,1,0,2,0,[],[],[],[],0,1,0,0,6,2,50
48,1,0,13,0,[],[],[],[],1,105,0,0,1,2,50
49,1,0,1,0,[],[],[],[],0,0,0,0,7,2,50
50,1,0,6,0,[],[],[],[],11,6,0,0,5,2,1000
51,1,0,24,20,"[34,35]","[17,32]","[1,0]",[],21,19,0,0,1,2,50
52,0,84,25,21,[36],"[19,33,1007]","[1,0,0]",[],32,20,0,0,1,2,50
53,1,0,56,0,[],[],[],[],101,200,0,0,1,2,50
54,0,327,35,22,"[37,38,39]","[6,34]","[1,0]",[],14,21,0,0,1,2,50
55,1,0,1,0,[],[],[],[],0,0,0,0,7,2,50
56,1,0,2,0,[],[],[],[],0,1,0,0,8,26,1
57,1,222,26,23,"[40,41]","[22,35,36,37]","[1,0,0,0]",[],52,22,0,0,1,18,50
58,1,81,27,24,"[42,43]","[1,38,43]","[1,0,0]",[],4,23,0,0,1,2,50
59,1,0,56,0,[],[],[],[],101,200,0,0,1,2,50
60,1,0,6,0,[],[],[],[],11,6,0,0,5,2,50
61,1,0,1,0,[],[],[],[],0,0,0,0,7,2,1000
62,1,0,28,25,"[44,45]","[17,39]","[1,0]",[],21,24,0,0,1,2,50
63,1,2,29,26,[46],"[6,40,1006,41]","[1,0,0,0]",[],13,25,0,0,1,2,50
64,1,0,1,0,[],[],[],[],0,0,0,0,10,2,50
65,1,0,3,0,[],[],[],[],0,2,0,0,3,2,50
66,1,0,2,0,[],[],[],[],0,1,0,0,9,2,50
67,1,0,56,0,[],[],[],[],101,200,0,0,1,2,50
68,1,0,6,0,[],[],[],[],11,6,0,0,5,22,1
69,1,0,37,0,[],[],[],[],51,53,0,0,1,16,10
70,1,0,30,27,[47],"[6,40,53,42]","[1,0,0,0]",[],13,26,0,0,1,2,50
71,1,0,1,0,[],[],[],[],0,0,0,0,7,2,50
72,1,0,56,0,[],[],[],[],101,200,0,0,1,2,50
73,1,0,1,0,[],[],[],[],0,0,0,0,7,2,50
74,1,0,2,0,[],[],[],[],0,1,0,0,10,23,1
75,1,0,38,0,[],[],[],[],51,54,0,0,1,18,50
76,0,0,31,28,[48],"[1,38]","[1,0]",[],4,27,0,0,1,2,50
77,1,0,6,0,[],[],[],[],11,6,0,0,5,2,50
78,1,0,56,0,[],[],[],[],101,200,0,0,1,49,1
79,1,234,32,29,"[49,50]","[22,44,45,37]","[1,0,0,0]",[],53,28,0,0,1,2,1000
80,1,0,28,0,[],[],[],[],21,24,0,0,1,2,50
81,0,0,48,30,"[51,52]","[6,40,46]","[1,0,0]",[],13,29,0,0,1,2,50
82,1,0,1,0,[],[],[],[],0,0,0,0,7,2,50
83,1,0,3,0,[],[],[],[],0,2,0,0,4,49,1
84,1,0,32,0,[],[],[],[],53,28,0,0,1,29,10
85,1,328,49,31,"[53,54]","[48,1009,49]","[0,0,0]",[],61,30,0,0,1,2,50
86,1,0,50,32,"[55,56]","[6,50,1010,51]","[1,0,0,0]",[],15,31,0,0,1,2,50
87,1,0,56,0,[],[],[],[],101,200,0,0,1,2,50
88,1,0,6,0,[],[],[],[],11,6,0,0,5,2,50
89,1,0,55,33,"[57,58]",[],[],[],0,34,0,0,1,2,50
90,1,0,3,0,[],[],[],[],0,2,0,0,5,2,50
91,1,0,1,0,[],[],[],[],0,0,3,25,7,2,100
92,1,0,56,0,[],[],[],[],101,200,1,5,1,2,100
93,1,0,6,0,[],[],[],[],11,6,1,10,5,20,1
94,1,0,19,0,[],[],[],[],51,51,0,1,1,2,100
95,1,0,51,0,[],[],[],[],31,32,3,5,1,2,100
96,1,0,53,0,[],[],[],[],3,1001,3,0,5,26,1
97,1,0,26,0,[],[],[],[],52,22,0,1,1,2,100
98,1,0,56,0,[],[],[],[],101,200,1,5,1,2,100
99,1,0,6,0,[],[],[],[],11,6,1,10,6,21,1
100,1,0,36,0,[],[],[],[],51,52,0,2,1,2,100
101,1,0,1,0,[],[],[],[],0,0,3,25,10,2,100
102,1,0,22,0,[],[],[],[],41,17,3,5,1,2,100
103,1,0,54,0,[],[],[],[],3,1002,3,0,5,22,1
104,1,0,37,0,[],[],[],[],51,53,0,1,1,31,1
105,1,0,56,0,[],[],[],[],101,200,1,5,1,2,100
106,1,0,6,0,[],[],[],[],11,6,1,10,7,2,100
107,1,0,24,0,[],[],[],[],21,19,0,0,1,49,1
108,1,0,32,0,[],[],[],[],53,28,0,1,1,23,1
109,1,0,38,0,[],[],[],[],51,54,0,1,1,2,100
110,1,0,1,0,[],[],[],[],0,0,3,25,13,2,100
111,1,0,3,0,[],[],[],[],0,2,3,0,6,2,100
112,1,0,1,0,[],[],[],[],0,0,3,25,16,2,100
113,1,0,56,0,[],[],[],[],101,200,1,5,1,2,100
114,1,0,6,0,[],[],[],[],11,6,1,10,8,20,1
115,1,0,19,0,[],[],[],[],51,51,0,1,1,2,100
116,1,0,51,0,[],[],[],[],31,32,3,5,2,2,100
117,1,0,53,0,[],[],[],[],3,1001,3,0,6,26,1
118,1,0,26,0,[],[],[],[],52,22,0,1,1,2,100
119,1,0,56,0,[],[],[],[],101,200,1,5,1,2,100
120,1,0,6,0,[],[],[],[],11,6,1,10,9,21,1
121,1,0,36,0,[],[],[],[],51,52,0,1,1,2,100
122,1,0,1,0,[],[],[],[],0,0,3,25,19,2,100
123,1,0,22,0,[],[],[],[],41,17,3,5,2,2,100
124,1,0,54,0,[],[],[],[],3,1002,3,0,6,22,1
125,1,0,37,0,[],[],[],[],51,53,0,1,1,2,100
126,1,0,56,0,[],[],[],[],101,200,1,5,1,2,100
127,1,0,6,0,[],[],[],[],11,6,1,10,10,2,100
128,1,0,24,0,[],[],[],[],21,19,0,0,1,49,1
129,1,0,32,0,[],[],[],[],53,28,0,1,1,23,1
130,1,0,38,0,[],[],[],[],51,54,0,1,1,2,100
131,1,0,1,0,[],[],[],[],0,0,3,25,22,2,100
132,1,0,3,0,[],[],[],[],0,2,3,0,7,2,100
133,1,0,1,0,[],[],[],[],0,0,3,25,7,2,100
134,1,0,56,0,[],[],[],[],101,200,1,5,1,2,100
135,1,0,6,0,[],[],[],[],11,6,1,10,10,20,1
136,1,0,19,0,[],[],[],[],51,51,0,1,1,2,100
137,1,0,51,0,[],[],[],[],31,32,3,5,3,2,100
138,1,0,53,0,[],[],[],[],3,1001,3,0,7,26,1
139,1,0,26,0,[],[],[],[],52,22,0,1,1,31,1
140,1,0,56,0,[],[],[],[],101,200,1,5,1,2,100
141,1,0,6,0,[],[],[],[],11,6,1,10,10,21,1
142,1,0,36,0,[],[],[],[],51,52,0,1,1,2,100
143,1,0,1,0,[],[],[],[],0,0,3,25,25,2,100
144,1,0,22,0,[],[],[],[],41,17,3,5,3,2,100
