index,prefab,cost,sprite,text,pos,type,num,effect,weight,ability,value
int,string,int,int,int,int,int,int,int,int,list<int>,list<float>
1,1,5,1,1,1,1,1,1,100,"[0,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,52]","[0,10,10,20,20,30,30,40,40,50,50,60,60,70,70,80,80,90,90,100,100,110,110,120,120,130,130,140,140,150,100]"
2,2,5,2,2,1,1,2,1,50,"[0,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,52]","[0,20,20,40,40,60,60,80,80,100,100,120,120,140,140,160,160,180,180,200,200,220,220,240,240,260,260,280,280,300,150]"
3,3,5,3,3,1,1,3,1,50,"[0,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,102,2,52]","[0,20,20,40,40,60,60,80,80,100,100,120,120,140,140,160,160,180,180,200,200,220,220,240,240,260,260,280,280,300,150]"
7,7,7,7,10,1,1,7,1,10,"[1,101,2,102,189,2,102,2,102,189,2,102,2,102,189,2,102,2,102,189,2,102,2,102,189,2,102,2,102,189,52]","[5000,5000,30,30,1,60,60,90,90,2,120,120,150,150,3,180,180,210,210,4,240,240,270,270,5,300,300,330,330,5,300]"
8,8,7,8,11,1,1,8,1,10,"[1,101,2,102,187,2,102,2,102,187,2,102,2,102,187,2,102,2,102,187,2,102,2,102,187,2,102,2,102,187,52]","[5000,5000,30,30,1,60,60,90,90,2,120,120,150,150,3,180,180,210,210,4,240,240,270,270,5,300,300,330,330,5,300]"
4,4,10,4,4,1,1,4,2,1,"[1,101,2,102,183,2,102,2,102,183,2,102,2,102,183,2,102,2,102,183,2,102,2,102,183,2,102,2,102,183,52]","[10000,10000,40,40,1,80,80,120,120,2,160,160,200,200,3,240,240,280,280,4,320,320,360,360,5,400,400,440,440,5,500]"
5,5,10,5,5,1,1,5,3,1,"[1,101,2,102,181,2,102,2,102,181,2,102,2,102,181,2,102,2,102,181,2,102,2,102,181,2,102,2,102,181,52]","[10000,10000,40,40,1,80,80,120,120,2,160,160,200,200,3,240,240,280,280,4,320,320,360,360,5,400,400,440,440,5,500]"
6,6,10,6,6,1,1,6,4,1,"[1,101,2,102,188,2,102,2,102,188,2,102,2,102,188,2,102,2,102,188,2,102,2,102,188,2,102,2,102,188,52]","[10000,10000,40,40,1,80,80,120,120,2,160,160,200,200,3,240,240,280,280,4,320,320,360,360,5,400,400,440,440,5,500]"
101,1,5,1,7,2,2,1,0,5,"[3,103,4,104,183,8,108,9,109,183,4,104,8,108,183,9,109,4,104,183,8,108,9,109,183,4,104,17,19,183,52]","[200000,200000,100,100,1,50,50,50,50,2,200,200,100,100,3,100,100,300,300,4,150,150,150,150,5,400,400,100,100,5,500]"
102,2,5,2,8,2,2,2,0,5,"[3,103,4,104,181,8,108,9,109,181,4,104,8,108,181,9,109,4,104,181,8,108,9,109,181,4,104,17,19,181,52]","[200000,200000,100,100,1,50,50,50,50,2,200,200,100,100,3,100,100,300,300,4,150,150,150,150,5,400,400,100,100,5,500]"
103,3,5,3,9,2,2,3,0,5,"[3,103,4,104,188,8,108,9,109,188,4,104,8,108,188,9,109,4,104,188,8,108,9,109,188,4,104,17,19,188,52]","[200000,200000,100,100,1,50,50,50,50,2,200,200,100,100,3,100,100,300,300,4,150,150,150,150,5,400,400,100,100,5,500]"
104,4,5,4,13,3,2,4,0,1,"[3,103,4,104,184,8,108,9,109,184,4,104,8,108,184,9,109,4,104,184,8,108,9,109,184,4,104,17,19,184,52]","[200000,200000,100,100,1,50,50,50,50,2,200,200,100,100,3,100,100,300,300,4,150,150,150,150,5,400,400,100,100,5,500]"
105,5,5,5,12,3,2,5,0,1,"[3,103,4,104,182,8,108,9,109,182,4,104,8,108,182,9,109,4,104,182,8,108,9,109,182,4,104,17,19,182,52]","[200000,200000,100,100,1,50,50,50,50,2,200,200,100,100,3,100,100,300,300,4,150,150,150,150,5,400,400,100,100,5,500]"
106,6,5,6,14,3,2,6,0,1,"[3,103,4,104,187,8,108,9,109,187,4,104,8,108,187,9,109,4,104,187,8,108,9,109,187,4,104,17,19,187,52]","[200000,200000,100,100,1,50,50,50,50,2,200,200,100,100,3,100,100,300,300,4,150,150,150,150,5,400,400,100,100,5,500]"
