index,name,map,key,type,boss,monster,first,reward
int,int,int,int,int,int,list<int>,list<int>,list<int>
1,3,3,0,1,10003,"[1301,1302,1303,1304,1305,1306]",[12],"[1,18,14,24]"
2,2,2,0,1,10002,"[1201,1202,1203,1204,1205,1206]",[12],"[1,18,11,24]"
3,8,8,0,1,10001,"[1101,1102,1103,1104,1105,1106]",[12],"[1,18,8,24]"
4,4,4,0,1,10004,"[1401,1402,1403,1404,1405,1406]",[12],"[1,18,16,24]"
5,5,5,0,1,10001,"[1501,1502,1503,1504,1505,1506]",[12],"[1,18,31,24]"
6,6,6,0,1,10002,"[1601,1602,1603,1604,1605,1606]",[12],"[1,18,8,24]"
7,7,7,0,1,10003,"[1701,1702,1703,1704,1705,1706]",[12],"[1,18,11,24]"
8,1,1,0,1,10004,"[1801,1802,1803,1804,1805,1806]",[12],"[1,18,14,24]"
9,9,9,0,1,10001,"[1901,1902,1903,1904,1905,1906]",[12],"[1,18,16,24]"
10,10,10,0,1,10002,"[2001,2002,2003,2004,2005,2006]",[12],"[1,18,31,24]"
